flag,code,category,description_da,description_en,detail
F10_diverge_official,HEA_ICD10_DT815,HEA_ICD10,Fremmedlegeme utilsigtet efterladt i operationsfelt,Foreign body inadvertently left in surgical site,official='Foreign body accidentally left in body cavity or o'  r=0.48
F10_diverge_official,HEA_ICD10_DK146,HEA_ICD10,Smerter i tungen,Tongue pain,official='Glossodynia'  r=0.27
F10_diverge_official,HEA_ICD10_DE069,HEA_ICD10,Betændelse i skjoldbruskkirtlen UNS,Inflammation of the thymus gland NOS,"official='Thyroiditis, unspecified'  r=0.24"
F10_diverge_official,HEA_ICD10_DM723,HEA_ICD10,Fasciitis nodularis,Fasciitis nodularis,official='Fibroblastic disorders'  r=0.44
F10_diverge_official,HEA_ICD10_DK061B,HEA_ICD10,Irritativ hyperplasi af processus alveolaris efter tab af tænder,Irritative hyperplasia of alveolar process after loss of teeth,official='Other disorders of gingiva and edentulous alveolar'  r=0.34
F10_diverge_official,HEA_ICD10_DD151,HEA_ICD10,Godartet tumor i hjertet,Benign tumor of heart,official='Heart'  r=0.38
F10_diverge_official,HEA_ICD10_DD760,HEA_ICD10,Histiocytose i de Langerhanske celler,Histiocytosis of Langerhans cells,official='Other specified diseases with participation of lym'  r=0.19
F10_diverge_official,HEA_ICD10_DE891,HEA_ICD10,Hypoinsulinæmi efter operation,Hypoinsulinemia following surgery,official='Postprocedural hypoinsulinaemia'  r=0.47
F10_diverge_official,HEA_ICD10_DE125,HEA_ICD10,Diabetes forårsaget af underernæring med komplikationer i perifere karsystem,Diabetes due to malnutrition with complications in peripheral nerves,official='Malnutrition-related diabetes mellitus'  r=0.30
F10_diverge_official,HEA_ICD10_DS549,HEA_ICD10,Læsion af nerve i albueregion eller underarm UNS,Nerve lesion in axillary region or upper arm NOS,official='Injury of unspecified nerve at forearm level'  r=0.28
F10_diverge_official,HEA_ICD10_DT146D,HEA_ICD10,Traumatisk ruptur af sene UNS,Traumatic rupture of tendon NOS,official='Injury of unspecified body region'  r=0.34
F10_diverge_official,HEA_ICD10_DL892A,HEA_ICD10,Decubitus grad III ved neurologiske udfald,Stage III pressure ulcer due to neurological condition,official='Decubitus ulcer and pressure area'  r=0.32
F10_diverge_official,HEA_ICD10_DQ878K,HEA_ICD10,Birt-Hogg-Dube syndrom,Birt-Hogg-Dubé syndrome,official='Other specified congenital malformation syndromes '  r=0.26
F10_diverge_official,HEA_ICD10_DO359B,HEA_ICD10,Graviditet med andet abnormt ultralydsfund hos fosteret UNS,Pregnancy with second abnormal ultrasound finding in fetus NOS,official='Maternal care for known or suspected fetal abnorma'  r=0.43
F10_diverge_official,HEA_ICD10_DR470A,HEA_ICD10,Dysfasi,Dysphasia and aphasia,"official='Speech disturbances, not elsewhere classified'  r=0.22"
F10_diverge_official,HEA_ICD10_DE631,HEA_ICD10,Fejlernæring som følge af misforhold i fødens sammensætning,Malnutrition due to abnormal composition of diet,official='Imbalance of constituents of food intake'  r=0.27
F10_diverge_official,HEA_ICD10_DM311B,HEA_ICD10,Buergers sygdom,Buerger's disease,official='Other necrotizing vasculopathies'  r=0.29
F10_diverge_official,HEA_ICD10_DG711D,HEA_ICD10,Myotonia congenita UNS,"Myotonia congenita, NOS",official='Primary disorders of muscles'  r=0.32
F10_diverge_official,HEA_ICD10_DS463A,HEA_ICD10,Muskellæsion i musculus triceps brachii,Muscle lesion in the triceps brachii muscle,official='Injury of muscle and tendon at shoulder and upper '  r=0.37
F10_diverge_official,HEA_ICD10_DQ620B,HEA_ICD10,Dobbeltsidig medfødt hydronefrose,Bilateral congenital hydronephrosis,official='Congenital obstructive defects of renal pelvis and'  r=0.35
F10_diverge_official,HEA_ICD10_DQ203A,HEA_ICD10,Dextrotranspositio aortae,Discordant ventriculoarterial connection,official='Congenital malformations of cardiac chambers and c'  r=0.32
F10_diverge_official,HEA_ICD10_DP718A,HEA_ICD10,Hyperkalcæmi hos nyfødt,Hypercalcemia in neonate,official='Transitory neonatal disorders of calcium and magne'  r=0.20
F10_diverge_official,HEA_ICD10_DL237A,HEA_ICD10,Erhvervsbetinget allergisk dermatitis forårsaget af hudkontakt med plante,Occupational allergic dermatitis caused by skin contact with plant,official='Allergic contact dermatitis'  r=0.41
F10_diverge_official,HEA_ICD10_DK254D,HEA_ICD10,Pylorusulcus UNS med blødning,Pyloric ulcer NOS with bleeding,official='Gastric ulcer'  r=0.41
F10_diverge_official,HEA_ICD10_DL022A,HEA_ICD10,Furunkel på brystvæggen,Boil on the chest wall,"official='Cutaneous abscess, furuncle and carbuncle'  r=0.19"
F10_diverge_official,HEA_ICD10_DM463A,HEA_ICD10,Infektiøs discitis intervertebralis postoperativa,Postoperative infectious intervertebral discitis,official='Other inflammatory spondylopathies'  r=0.24
F10_diverge_official,HEA_ICD10_DC694,HEA_ICD10,Kræft i corpus ciliare,Corpus ciliare cancer,official='Ciliary body'  r=0.42
F10_diverge_official,HEA_ICD10_DD311,HEA_ICD10,Godartet tumor i hornhinde,Benign tumor of the retina,official='Cornea'  r=0.25
F10_diverge_official,HEA_ICD10_DQ701,HEA_ICD10,Simpel syndaktyli i hånd uden synostose,Simple syndactyly of hand without synostosis,official='Webbed fingers'  r=0.17
F10_diverge_official,HEA_ICD10_DT719,HEA_ICD10,Asfyksi,Asfyksi,official='Asphyxiation'  r=0.42
F10_diverge_official,HEA_ICD10_DD290,HEA_ICD10,Godartet tumor i penis,Benign tumor of the penis,official='Penis'  r=0.33
F10_diverge_official,HEA_ICD10_DT436B,HEA_ICD10,Forgiftning med ecstasy,Ecstasy poisoning,"official='Poisoning by psychotropic drugs, not elsewhere cla'  r=0.25"
F10_diverge_official,HEA_ICD10_DG712A,HEA_ICD10,Medfødt muskeldystrofi UNS,Congenital muscular dystrophy NOS,official='Primary disorders of muscles'  r=0.30
F10_diverge_official,HEA_ICD10_DC696,HEA_ICD10,Kræft i øjenhule,Cancer of orbital contents,official='Orbit'  r=0.32
F10_diverge_official,HEA_ICD10_DC490C,HEA_ICD10,Kræft i bindevæv og bløddelsvæv i ansigtet,Cancer of facial soft tissue and connective tissue,official='Malignant neoplasm of other connective and soft ti'  r=0.38
F10_diverge_official,HEA_ICD10_DZ125A,HEA_ICD10,Screening ved PSA bestemmelse for kræft i prostata,Screening for prostate cancer by PSA determination,official='Special screening examination for neoplasms'  r=0.41
F10_diverge_official,HEA_ICD10_DH600A,HEA_ICD10,Absces i ydre øregang,Abscess of external auditory canal,official='Otitis externa'  r=0.38
F10_diverge_official,HEA_ICD10_DL024A,HEA_ICD10,Absces på storetå,Abscess of big toe,"official='Cutaneous abscess, furuncle and carbuncle'  r=0.41"
F10_diverge_official,HEA_ICD10_DD430E,HEA_ICD10,Ikke specificeret tumor i hjernens tindingelap,Unspecified tumor of the temporal lobe,official='Neoplasm of uncertain or unknown behaviour of brai'  r=0.31
F10_diverge_official,HEA_ICD10_DT622A,HEA_ICD10,Planteforgiftning UNS,Plant poisoning NOS,official='Toxic effect of other noxious substances eaten as '  r=0.22
F10_diverge_official,HEA_ICD10_DJ205A,HEA_ICD10,Akut bronkitis forårsaget af respiratorisk syncytialvirus med bronkospasme,Acute bronchitis caused by respiratory syncytial virus with bronchospasm,official='Acute bronchitis'  r=0.36
F10_diverge_official,HEA_ICD10_DP211A,HEA_ICD10,Let neonatal asfyksi med Apgar-score 4 ved 1 min,Mild neonatal asphyxia with Apgar score 4 at 1 minute,official='Birth asphyxia'  r=0.33
F10_diverge_official,HEA_ICD10_DT813U,HEA_ICD10,Postoperativ komplikation ved anastomose eller stoma i urinvejene,Postoperative complication at anastomosis or stoma of urinary tract,"official='Complications of procedures, not elsewhere classif'  r=0.34"
F10_diverge_official,HEA_ICD10_DH350C,HEA_ICD10,Retinalt mikroaneurisme,Background retinopathy and retinal vascular changes,official='Other retinal disorders'  r=0.43
F10_diverge_official,HEA_ICD10_DN002,HEA_ICD10,Akut glomerulonefritis med diffus membranøs morfologi,Acute glomerulonephritis with diffuse membranous morphology,official='Acute nephritic syndrome'  r=0.43
F10_diverge_official,HEA_ICD10_DS932F,HEA_ICD10,Traumatisk ruptur af ligamentum tibiofibularis distalis,Traumatic rupture of distal tibiofibular syndesmosis,"official='Dislocation, sprain and strain of joints and ligam'  r=0.25"
F10_diverge_official,HEA_ICD10_DM768A,HEA_ICD10,Tibialis anterior-syndrom,Anterior tibial syndrome,"official='Enthesopathies of lower limb, excluding foot'  r=0.21"
F10_diverge_official,HEA_ICD10_DH570A,HEA_ICD10,Adies pupil,Anomalies of pupillary function,official='Other disorders of eye and adnexa'  r=0.34
F10_diverge_official,HEA_ICD10_DK265,HEA_ICD10,Kronisk eller ikke specificeret duodenalulcus med perforation,Chronic or unspecified duodenal ulcer with perforation,official='Duodenal ulcer'  r=0.41
F10_diverge_official,HEA_ICD10_DS259,HEA_ICD10,Læsion af blodkar i thorax UNS,Vessel lesion in thorax NOS,official='Injury of unspecified blood vessel of thorax'  r=0.42
F10_diverge_official,HEA_ICD10_DK092B,HEA_ICD10,Overkæbecyste UNS,Suprapubic cyst NOS,"official='Cysts of oral region, not elsewhere classified'  r=0.25"
F10_diverge_official,HEA_ICD10_DT810C,HEA_ICD10,Dybt hæmatom eller blødning i operationssår,Deep hematoma or bleeding in surgical wound,"official='Complications of procedures, not elsewhere classif'  r=0.19"
F10_diverge_official,HEA_ICD10_DT115A,HEA_ICD10,Muskellæsion på arm UNS,Muscle lesion on arm NOS,"official='Other injuries of upper limb, level unspecified'  r=0.17"
F10_diverge_official,HEA_ICD10_DT112B,HEA_ICD10,Luksation på arm UNS,Dislocation of arm NOS,"official='Other injuries of upper limb, level unspecified'  r=0.32"
F10_diverge_official,HEA_ICD10_DI059,HEA_ICD10,Reumatisk mitralklapaffektion UNS,Rheumatic mitral valve involvement NOS,"official='Mitral valve disease, unspecified'  r=0.49"
F10_diverge_official,HEA_ICD10_DI250,HEA_ICD10,Arteriosclerosis cardiovascularis,Cardiovascular arteriosclerosis,"official='Atherosclerotic cardiovascular disease, so describ'  r=0.49"
F10_diverge_official,HEA_ICD10_DT677,HEA_ICD10,Ødem forårsaget af varme,Edema caused by heat,official='Heat oedema'  r=0.32
F10_diverge_official,HEA_ICD10_DH92,HEA_ICD10,Øresmerter og øreflåd,Earache and ear drum,official='Otalgia and effusion of ear'  r=0.43
F10_diverge_official,HEA_ICD10_DZ351,HEA_ICD10,Graviditet efter tidligere abort,Pregnancy following previous abortion,official='Supervision of pregnancy with history of abortive '  r=0.49
F10_diverge_official,HEA_ICD10_DD013,HEA_ICD10,Carcinoma in situ i endetarmsåbningen eller analkanalen,Carcinoma in situ of anal canal or anal sinus,official='Anus and anal canal'  r=0.47
F10_diverge_official,HEA_ICD10_DJ848A,HEA_ICD10,Allergisk bronkopulmonal aspergillose,Allergic bronchopulmonary aspergillosis,official='Other interstitial pulmonary diseases'  r=0.45
F10_diverge_official,HEA_ICD10_DB649,HEA_ICD10,Sygdom forårsaget af protozoer UNS,Disease caused by protozoa NOS,official='Unspecified protozoal disease'  r=0.47
F10_diverge_official,HEA_ICD10_DH350K,HEA_ICD10,Vasculitis retinae,Background retinopathy and retinal vascular changes,official='Other retinal disorders'  r=0.43
F10_diverge_official,HEA_ICD10_DS631G,HEA_ICD10,Luksation i 3. fingers proksimale interfalangealled,Dislocation of 3rd finger proximal interphalangeal joint,"official='Dislocation, sprain and strain of joints and ligam'  r=0.30"
F10_diverge_official,HEA_ICD10_DS302P,HEA_ICD10,Fraktur af penis,Fracture of penis,"official='Superficial injury of abdomen, lower back and pelv'  r=0.35"
F10_diverge_official,HEA_ICD10_DJ392B,HEA_ICD10,Cyste i pharynx,Cyst of the pharynx,official='Other diseases of upper respiratory tract'  r=0.27
F10_diverge_official,HEA_ICD10_DS601B,HEA_ICD10,Skade på negleleje på finger,Nail bed injury of finger,official='Superficial injury of wrist and hand'  r=0.49
F10_diverge_official,HEA_ICD10_DZ850C,HEA_ICD10,Anamnese med kræft i ventrikel,History of cancer in ventricle,official='Personal history of malignant neoplasm'  r=0.44
F10_diverge_official,HEA_ICD10_DJ111B,HEA_ICD10,Influenza med faryngitis uden påvist influenzavirus,Influenza with pharyngitis without confirmed influenza virus,"official='Influenza, virus not identified'  r=0.33"
F10_diverge_official,HEA_ICD10_DZ048T,HEA_ICD10,Kontakt mhp. medicingennemgang,Contact regarding medical examination,official='Examination and observation for other reasons'  r=0.27
F10_diverge_official,HEA_ICD10_DS056A,HEA_ICD10,Perforerende sår i øjeæble uden fremmedlegeme,Penetrating wound of eyelid without foreign body,official='Injury of eye and orbit'  r=0.39
F10_diverge_official,HEA_ICD10_DC447C,HEA_ICD10,Anden hudkræft på fod eller tå,Other skin cancer of foot or toe,official='Other malignant neoplasms of skin'  r=0.31
F10_diverge_official,HEA_ICD10_DE278,HEA_ICD10,Anden binyresygdom,Other kidney disease,official='Other specified disorders of adrenal gland'  r=0.48
F10_diverge_official,HEA_ICD10_DQ825B,HEA_ICD10,Modermærke UNS,Nodular liver lesion NOS,official='Other congenital malformations of skin'  r=0.32
F10_diverge_official,HEA_ICD10_DL282A,HEA_ICD10,Urticaria papulosa,Other prurigo,official='Lichen simplex chronicus and prurigo'  r=0.45
F10_diverge_official,HEA_ICD10_DK712A,HEA_ICD10,Leversygdom med akut hepatitis forårsaget af lægemiddel,Liver disease with acute hepatitis caused by medication,official='Toxic liver disease'  r=0.35
F10_diverge_official,HEA_ICD10_DD389,HEA_ICD10,Ikke specificeret tumor i åndedrætsorgan eller luftveje UNS,Unspecified tumor of respiratory organ or airways NOS,official='Neoplasm of uncertain or unknown behaviour of midd'  r=0.39
F10_diverge_official,HEA_ICD10_DF0632,HEA_ICD10,Organisk depressiv sindslidelse,Organic depressive disorder,official='Other mental disorders due to brain damage and dys'  r=0.22
F10_diverge_official,HEA_ICD10_DG048A,HEA_ICD10,Postinfektiøs encefalitis IKA,Post-infectious encephalitis NEC,"official='Encephalitis, myelitis and encephalomyelitis'  r=0.43"
F10_diverge_official,HEA_ICD10_DG710I,HEA_ICD10,Dystrophia musculorum facioscapulohumeralis,Muscular dystrophy,official='Primary disorders of muscles'  r=0.26
F10_diverge_official,HEA_ICD10_DH17,HEA_ICD10,Ar og uklarheder i cornea,Opacities and unclear areas in cornea,official='Corneal scars and opacities'  r=0.28
F10_diverge_official,HEA_ICD10_DH26,HEA_ICD10,Andre former for grå stær,Other forms of gray matter,official='Other cataract'  r=0.45
F10_diverge_official,HEA_ICD10_DD485D,HEA_ICD10,Ikke specificeret tumor i hud på øjenlåg,Unspecified skin tumor on eyelid,official='Neoplasm of uncertain or unknown behaviour of othe'  r=0.30
F10_diverge_official,HEA_ICD10_DS051K,HEA_ICD10,Traumatisk glaslegemeblødning,Traumatic hyphema,official='Injury of eye and orbit'  r=0.05
F10_diverge_official,HEA_ICD10_DT261B,HEA_ICD10,Forbrænding af cornea,Corneal burn,official='Burn and corrosion confined to eye and adnexa'  r=0.14
F10_diverge_official,HEA_ICD10_DD487C,HEA_ICD10,Ikke specificeret tumor i øje UNS,Unspecified tumor of eye NOS,official='Neoplasm of uncertain or unknown behaviour of othe'  r=0.30
F10_diverge_official,HEA_ICD10_DS631J,HEA_ICD10,Luksation i tommelfingers metakarpofalangealled,Luxation of thumb metacarpophalangeal joint,"official='Dislocation, sprain and strain of joints and ligam'  r=0.25"
F10_diverge_official,HEA_ICD10_DT286,HEA_ICD10,Ætsning i spiserøret,Esophageal stricture,official='Corrosion of oesophagus'  r=0.37
F10_diverge_official,HEA_ICD10_DD105,HEA_ICD10,Godartet tumor med anden lokalisation i mundsvælget,Benign tumor with other site in oral cavity,official='Other parts of oropharynx'  r=0.38
F10_diverge_official,HEA_ICD10_DD143A,HEA_ICD10,Godartet tumor i bronkie,Benign tumor of bronchus,official='Benign neoplasm of middle ear and respiratory syst'  r=0.39
F10_diverge_official,HEA_ICD10_DC039,HEA_ICD10,Kræft i tandkødet UNS,Cancer of gum NOS,"official='Gum, unspecified'  r=0.38"
F10_diverge_official,HEA_ICD10_DC022,HEA_ICD10,Kræft i tungens underside,"Cancer of tongue, undersurface",official='Ventral surface of tongue'  r=0.48
F10_diverge_official,HEA_ICD10_DD367,HEA_ICD10,Godartet tumor med anden lokalisation,"Benign tumor, other site",official='Other specified sites'  r=0.45
F10_diverge_official,HEA_ICD10_DE030A,HEA_ICD10,Medfødt myksødem UNS,Congenital musculoskeletal abnormality NOS,official='Other hypothyroidism'  r=0.13
F10_diverge_official,HEA_ICD10_DC725,HEA_ICD10,Kræft i anden hjernenerve eller hjernenerve UNS,Malignant neoplasm of other cranial nerve or cranial nerve NOS,official='Other and unspecified cranial nerves'  r=0.41
F10_diverge_official,HEA_ICD10_DK562C,HEA_ICD10,Tyndtarmsvolvulus,Volvulus,official='Paralytic ileus and intestinal obstruction without'  r=0.12
F10_diverge_official,HEA_ICD10_DI844D,HEA_ICD10,Eksterne hæmorroider m prolaps,External hemorrhoids with prolapse,official='Certain infectious and parasitic diseases'  r=0.35
F10_diverge_official,HEA_ICD10_DR21,HEA_ICD10,Ikke nærmere specificeret udslæt på huden,Unspecified discharge from skin,official='Rash and other nonspecific skin eruption'  r=0.39
F10_diverge_official,HEA_ICD10_DZ720A,HEA_ICD10,Problem med at være ryger,Tobacco use disorder,official='Problems related to lifestyle'  r=0.20
F10_diverge_official,HEA_ICD10_DB301A,HEA_ICD10,Akut follikulær konjunktivitis forårsaget af adenovirus,Acute follicular conjunctivitis due to adenovirus,official='Viral conjunctivitis'  r=0.49
F10_diverge_official,HEA_ICD10_DO992A,HEA_ICD10,"Komplicer. endokrinologisk sygd u graviditet, fødsel, barsel",Complicated endocrinopathy NEC,official='Other maternal diseases classifiable elsewhere but'  r=0.23
F10_diverge_official,HEA_ICD10_DK271,HEA_ICD10,Akut gastroduodenalt ulcus med perforation,Acute gastric and duodenal ulcer with perforation,"official='Peptic ulcer, site unspecified'  r=0.44"
F10_diverge_official,HEA_ICD10_DA779,HEA_ICD10,Rickettsiose overført af flåt UNS,Rickettsiosis transmitted by a tick NOS,"official='Spotted fever, unspecified'  r=0.28"
F10_diverge_official,HEA_ICD10_DD470B,HEA_ICD10,Indolent mastocytosis,Histiocytic and mast cell tumours of uncertain and unknown behaviour,official='Other neoplasms of uncertain or unknown behaviour '  r=0.47
F10_diverge_official,HEA_ICD10_DT810K,HEA_ICD10,Blødning fra biopsisted,Bleeding from biopsy site,"official='Complications of procedures, not elsewhere classif'  r=0.29"
F10_diverge_official,HEA_ICD10_DT808B,HEA_ICD10,Hæmosiderose efter transfusion,Hemochromatosis post-transfusion,"official='Complications following infusion, transfusion and '  r=0.39"
F10_diverge_official,HEA_ICD10_DO343A,HEA_ICD10,Klinisk cervixinsufficiens,Clinical cervical insufficiency,official='Maternal care for known or suspected abnormality o'  r=0.27
F10_diverge_official,HEA_ICD10_DD758C,HEA_ICD10,Idiopatisk cytopeni af ukendt signifikans (ICUS),Idiopathic cytopenia of unknown significance (ICUS),official='Other diseases of blood and blood-forming organs'  r=0.30
F10_diverge_official,HEA_ICD10_DL905B,HEA_ICD10,Hudfibrose UNS,Skin fibrosis NOS,official='Atrophic disorders of skin'  r=0.19
F10_diverge_official,HEA_ICD10_DR252B,HEA_ICD10,Spasmer UNS,"Spasms, NOS",official='Abnormal involuntary movements'  r=0.20
F10_diverge_official,HEA_ICD10_DH741,HEA_ICD10,Sammenvoksninger i mellemøret,Nasal polyp,official='Adhesive middle ear disease'  r=0.11
F10_diverge_official,HEA_ICD10_DF1224,HEA_ICD10,Cannabisafhængighedssyndrom aktivt brugende,Active cannabis dependence syndrome,official='Mental and behavioural disorders due to use of can'  r=0.26
F10_diverge_official,HEA_ICD10_DR100A,HEA_ICD10,Defense ved akut abdomen,Acute abdomen defense,official='Abdominal and pelvic pain'  r=0.30
F10_diverge_official,HEA_ICD10_DK072F,HEA_ICD10,Krydsbid,Anomalies of dental arch relationship,official='Dentofacial anomalies [including malocclusion]'  r=0.43
F10_diverge_official,HEA_ICD10_DO990B,HEA_ICD10,Anæmi som komplicerer graviditeten,Anemia complicating pregnancy,official='Other maternal diseases classifiable elsewhere but'  r=0.42
F10_diverge_official,HEA_ICD10_DO266G,HEA_ICD10,Graviditetskløe med kolestase,Cholestasis of pregnancy,official='Maternal care for other conditions predominantly r'  r=0.39
F10_diverge_official,HEA_ICD10_DD686B,HEA_ICD10,Protein S mangel,Protein S deficiency,official='Other coagulation defects'  r=0.44
F10_diverge_official,HEA_ICD10_DO039A,HEA_ICD10,Komplet spontan abort uden specifikation uden komplikation,Complete spontaneous abortion unspecified without complication,official='Spontaneous abortion'  r=0.49
F10_diverge_official,HEA_ICD10_DH360E,HEA_ICD10,Maculopathia diabetica IDDM,Diabetic maculopathy IDDM,official='Retinal disorders in diseases classified elsewhere'  r=0.24
F10_diverge_official,HEA_ICD10_DS337A,HEA_ICD10,Distorsion af bækkenled UNS,Distortion of pelvic bone NOS,"official='Dislocation, sprain and strain of joints and ligam'  r=0.33"
F10_diverge_official,HEA_ICD10_DC443H,HEA_ICD10,"Hudkræft i ansigt, an/uspec, basocellulær, recidiverende","Recurrent basal cell carcinoma of face, unspecified",official='Other malignant neoplasms of skin'  r=0.29
F10_diverge_official,HEA_ICD10_DC768,HEA_ICD10,Kræft med anden eller dårligt specificeret lokalisation overgribende flere lokalisationer,Malignant neoplasm with other or poorly specified site overriding multiple sites,official='Overlapping lesion of other and ill-defined sites'  r=0.39
F10_diverge_official,HEA_ICD10_DQ530,HEA_ICD10,Ektopisk testikel,Cryptorchidism,official='Ectopic testis'  r=0.43
F10_diverge_official,HEA_ICD10_DF308,HEA_ICD10,Manisk enkeltepisode af anden type,Single episode of manual infection of other specified type,official='Other manic episodes'  r=0.26
F10_diverge_official,HEA_ICD10_DH332B,HEA_ICD10,Nethindeløsning UNS,Nethist inflammation NOS,official='Retinal detachments and breaks'  r=0.41
F10_diverge_official,HEA_ICD10_DR131,HEA_ICD10,"Søvnrelateret synken, hosten eller laryngospasme","Sleep-related choking, coughing, or laryngospasm",official='Dysphagia'  r=0.18
F10_diverge_official,HEA_ICD10_DH180,HEA_ICD10,Pigmentering eller aflejring i hornhinde,Pigmentation or discharge of the cornea,official='Corneal pigmentations and deposits'  r=0.47
F10_diverge_official,HEA_ICD10_DH530C,HEA_ICD10,Amblyopia anisometropica,Amblyopia ex anopsia,official='Visual disturbances'  r=0.26
F10_diverge_official,HEA_ICD10_DD801C,HEA_ICD10,Common variable agammaglobulinemia (CVA-gamma),Nonfamilial hypogammaglobulinaemia,official='Immunodeficiency with predominantly antibody defec'  r=0.19
F10_diverge_official,HEA_ICD10_DM244E2,HEA_ICD10,Posterior skulderinstabilitet,Posterior shoulder instability,official='Other specific joint derangements'  r=0.38
F10_diverge_official,HEA_ICD10_DM243A,HEA_ICD10,Luksation af led IKA,Dislocation of joint NEC,official='Other specific joint derangements'  r=0.39
F10_diverge_official,HEA_ICD10_DK598D,HEA_ICD10,Sterkoraldiarré,Stercoral diarrhoea,official='Other functional intestinal disorders'  r=0.32
F10_diverge_official,HEA_ICD10_DD62,HEA_ICD10,Akut anæmi efter blødning,Acute anemia due to bleeding,official='Acute posthaemorrhagic anaemia'  r=0.41
F10_diverge_official,HEA_ICD10_DR160,HEA_ICD10,Forstørret lever IKA,Enlarged liver NEC,"official='Hepatomegaly, not elsewhere classified'  r=0.22"
F10_diverge_official,HEA_ICD10_DR149A,HEA_ICD10,Flatulens,Flatulens,official='Flatulence and related conditions'  r=0.43
F10_diverge_official,HEA_ICD10_DM236C,HEA_ICD10,Spontan ruptur af knæledsligament UNS,Spontaneous rupture of knee ligament NOS,official='Internal derangement of knee'  r=0.41
F10_diverge_official,HEA_ICD10_DL50,HEA_ICD10,Nældefeber,Paronychia,official='Urticaria'  r=0.42
F10_diverge_official,HEA_ICD10_DF110,HEA_ICD10,Akut opioidintoksikation,Akut opioidintoksikation,official='Mental and behavioural disorders due to use of opi'  r=0.28
F10_diverge_official,HEA_ICD10_DD367A,HEA_ICD10,Castleman sygdom,Castleman disease,official='Benign neoplasm of other and unspecified sites'  r=0.32
F10_diverge_official,HEA_ICD10_DN882A,HEA_ICD10,Stenose i livmoderhalsen,Stenosis of cervical canal,official='Other noninflammatory disorders of cervix uteri'  r=0.44
F10_diverge_official,HEA_ICD10_DK732F,HEA_ICD10,Autoimmun hepatitis med samtidig primær skleroserende kolangitis,Autoimmune hepatitis with concurrent primary sclerosing cholangitis,"official='Chronic hepatitis, not elsewhere classified'  r=0.40"
F10_diverge_official,HEA_ICD10_DQ873A,HEA_ICD10,Beckwith-Wiedemanns syndrom,Beckwith-Wiedemann syndrome,official='Other specified congenital malformation syndromes '  r=0.37
F10_diverge_official,HEA_ICD10_DF0284,HEA_ICD10,Demens med blandede symptomer ved anden sygdom,Dementia with mixed symptoms due to another disease,official='Dementia in other diseases classified elsewhere'  r=0.49
F10_diverge_official,HEA_ICD10_DQ505A,HEA_ICD10,Torsio cystis parovarialis,Embryonic cyst of broad ligament,"official='Congenital malformations of ovaries, fallopian tub'  r=0.45"
F10_diverge_official,HEA_ICD10_DN831B,HEA_ICD10,Blødning i corpus luteum-cyste,Bleeding in corpus luteum cyst,"official='Noninflammatory disorders of ovary, fallopian tube'  r=0.22"
F10_diverge_official,HEA_ICD10_DF1131,HEA_ICD10,Abstinenstilstand forårsaget af opioidbrug med kramper,Opioid withdrawal state with seizures,official='Mental and behavioural disorders due to use of opi'  r=0.15
F10_diverge_official,HEA_ICD10_DG540C,HEA_ICD10,Skalenersyndrom,Klippel-Trenaunay syndrome,official='Nerve root and plexus disorders'  r=0.25
F10_diverge_official,HEA_ICD10_DN898H,HEA_ICD10,Sår i vagina forårsaget af pessar,Wound in vagina caused by pessary,official='Other noninflammatory disorders of vagina'  r=0.30
F10_diverge_official,HEA_ICD10_DA590,HEA_ICD10,Trichomoniasis i urin- og kønsorganer,Trichomoniasis in urinary and genital organs,official='Urogenital trichomoniasis'  r=0.41
F10_diverge_official,HEA_ICD10_DL270B,HEA_ICD10,Akut generaliseret eksantematøs pustulose (AGEP) forårsaget af indtaget lægemiddel,Acute generalized exanthematous pustulosis (AGEP) caused by medication intake,official='Dermatitis due to substances taken internally'  r=0.33
F10_diverge_official,HEA_ICD10_DG401C,HEA_ICD10,Occipitallapsepilepsi kun med simple fokale anfald,Occipital lobe epilepsy with simple focal seizures only,official='Epilepsy'  r=0.25
F10_diverge_official,HEA_ICD10_DZ094I,HEA_ICD10,Kontrolundersøgelse efter behandling af knæfraktur,Post-treatment knee fracture examination,official='Follow-up examination after treatment for conditio'  r=0.21
F10_diverge_official,HEA_ICD10_DQ556E,HEA_ICD10,Penoskrotal fusion eller transposition,Penoscrotal fusion or transposition,official='Other congenital malformations of male genital org'  r=0.32
F10_diverge_official,HEA_ICD10_DI441E,HEA_ICD10,Avanceret AV blok med 2 eller flere konsekutive manglende overledninger,Advanced AV block with 2 or more consecutive dropped beats,official='Atrioventricular and left bundle-branch block'  r=0.21
F10_diverge_official,HEA_ICD10_DT415A,HEA_ICD10,Forgiftning med kuldioxid,Carbon dioxide poisoning,official='Poisoning by anaesthetics and therapeutic gases'  r=0.25
F10_diverge_official,HEA_ICD10_DH534B,HEA_ICD10,Forstørret blind plet,Enlarged blind pouch,official='Visual disturbances'  r=0.05
F10_diverge_official,HEA_ICD10_DC108,HEA_ICD10,Kræft i mundsvælget overgribende flere lokalisationer,Oral cavity cancer NOS,official='Overlapping lesion of oropharynx'  r=0.19
F10_diverge_official,HEA_ICD10_DC920B,HEA_ICD10,Akut myeloblastær leukæmi med modning,Acute myeloblastic leukemia with differentiation,official='Myeloid leukaemia'  r=0.46
