# id	description_da_full	description_en	confidence
2742	Fysioterapi 61, Opfølgende træningsterapi	Physiotherapy 61, follow-up training therapy	high
2745	Fysioterapi 61, Tillæg særligt tidskrævende	Physiotherapy 61, supplement for especially time-consuming	medium
2747	Fysioterapi 61, øvelsesterapi individuel	Physiotherapy 61, exercise therapy (individual)	high
2750	Vederlagsfri fysioterapi, ADL-funktionstræning	Free-of-charge physiotherapy, ADL functional training	high
2751	Vederlagsfri fysioterapi, afspænding (hold)	Free-of-charge physiotherapy, relaxation therapy (group)	high
2752	Vederlagsfri fysioterapi, afspænding (individuel)	Free-of-charge physiotherapy, relaxation therapy (individual)	high
2758	Vederlagsfri fysioterapi, bassintræning 1 person, egne lokaler 51 62	Free-of-charge physiotherapy, pool training 1 person, own premises (51 62)	medium
2759	Vederlagsfri fysioterapi, bassintræning 2 personer, amtets lokaler 51 62	Free-of-charge physiotherapy, pool training 2 persons, county premises (51 62)	medium
2760	Vederlagsfri fysioterapi, bassintræning 2 personer, egne lokaler 51 62	Free-of-charge physiotherapy, pool training 2 persons, own premises (51 62)	medium
2761	Vederlagsfri fysioterapi, bassintræning 3 personer, amtets lokaler 51 62	Free-of-charge physiotherapy, pool training 3 persons, county premises (51 62)	medium
2762	Vederlagsfri fysioterapi, bassintræning 3 personer, egne lokaler 51 62	Free-of-charge physiotherapy, pool training 3 persons, own premises (51 62)	medium
2763	Vederlagsfri fysioterapi, bassintræning 4 personer, amtets lokaler 51 62	Free-of-charge physiotherapy, pool training 4 persons, county premises (51 62)	medium
2764	Vederlagsfri fysioterapi, bassintræning 4 personer, egne lokaler 51 62	Free-of-charge physiotherapy, pool training 4 persons, own premises (51 62)	medium
2765	Vederlagsfri fysioterapi, bassintræning 5 personer, amtets lokaler 51 62	Free-of-charge physiotherapy, pool training 5 persons, county premises (51 62)	medium
2766	Vederlagsfri fysioterapi, bassintræning 6 personer, amtets lokaler 51 62	Free-of-charge physiotherapy, pool training 6 persons, county premises (51 62)	medium
2767	Vederlagsfri fysioterapi, bassintræning 6 personer, egne lokaler 51 62	Free-of-charge physiotherapy, pool training 6 persons, own premises (51 62)	medium
2768	Vederlagsfri fysioterapi, bassintræning 7 personer, amtets lokaler 51 62	Free-of-charge physiotherapy, pool training 7 persons, county premises (51 62)	medium
2769	Vederlagsfri fysioterapi, bassintræning 8 personer, amtets lokaler 51 62	Free-of-charge physiotherapy, pool training 8 persons, county premises (51 62)	medium
2770	Vederlagsfri fysioterapi, bassintræning 1 person, egne lokaler	Free-of-charge physiotherapy, pool training 1 person, own premises	high
2771	Vederlagsfri fysioterapi, bassintræning 2 personer, egne lokaler	Free-of-charge physiotherapy, pool training 2 persons, own premises	high
2772	Vederlagsfri fysioterapi, bassintræning 3 personer, egne lokaler	Free-of-charge physiotherapy, pool training 3 persons, own premises	high
2773	Vederlagsfri fysioterapi, bassintræning 4 personer, egne lokaler	Free-of-charge physiotherapy, pool training 4 persons, own premises	high
2774	Vederlagsfri fysioterapi, bassintræning 5 personer, egne lokaler	Free-of-charge physiotherapy, pool training 5 persons, own premises	high
2775	Vederlagsfri fysioterapi, bassintræning 6 personer, egne lokaler	Free-of-charge physiotherapy, pool training 6 persons, own premises	high
2776	Vederlagsfri fysioterapi, bassintræning 7 personer, egne lokaler	Free-of-charge physiotherapy, pool training 7 persons, own premises	high
2777	Vederlagsfri fysioterapi, bassintræning 8 personer, egne lokaler	Free-of-charge physiotherapy, pool training 8 persons, own premises	high
2778	Vederlagsfri fysioterapi, bassintræning 1 person	Free-of-charge physiotherapy, pool training 1 person	high
2779	Vederlagsfri fysioterapi, bassintræning 2 personer	Free-of-charge physiotherapy, pool training 2 persons	high
2780	Vederlagsfri fysioterapi, bassintræning 3 personer	Free-of-charge physiotherapy, pool training 3 persons	high
2781	Vederlagsfri fysioterapi, bassintræning 4 personer	Free-of-charge physiotherapy, pool training 4 persons	high
2782	Vederlagsfri fysioterapi, bassintræning 5 personer	Free-of-charge physiotherapy, pool training 5 persons	high
2783	Vederlagsfri fysioterapi, bassintræning 6 personer	Free-of-charge physiotherapy, pool training 6 persons	high
2784	Vederlagsfri fysioterapi, bassintræning 7 personer	Free-of-charge physiotherapy, pool training 7 persons	high
2785	Vederlagsfri fysioterapi, bassintræning 8 personer	Free-of-charge physiotherapy, pool training 8 persons	high
2786	Vederlagsfri fysioterapi, biomekanisk bevægelsesterapi	Free-of-charge physiotherapy, biomechanical movement therapy	high
2788	Vederlagsfri fysioterapi, fysioterapeutisk undersøgelse	Free-of-charge physiotherapy, physiotherapeutic examination	high
2804	Vederlagsfri fysioterapi, holdtræning 1 person, egne lokaler	Free-of-charge physiotherapy, group training 1 person, own premises	high
2805	Vederlagsfri fysioterapi, holdtræning 2 personer, egne lokaler	Free-of-charge physiotherapy, group training 2 persons, own premises	high
2806	Vederlagsfri fysioterapi, holdtræning 3 personer, egne lokaler	Free-of-charge physiotherapy, group training 3 persons, own premises	high
2807	Vederlagsfri fysioterapi, holdtræning 4 personer, egne lokaler	Free-of-charge physiotherapy, group training 4 persons, own premises	high
2808	Vederlagsfri fysioterapi, holdtræning 5 personer, egne lokaler	Free-of-charge physiotherapy, group training 5 persons, own premises	high
2809	Vederlagsfri fysioterapi, holdtræning 6 personer, egne lokaler	Free-of-charge physiotherapy, group training 6 persons, own premises	high
2810	Vederlagsfri fysioterapi, holdtræning 7 personer, egne lokaler	Free-of-charge physiotherapy, group training 7 persons, own premises	high
2811	Vederlagsfri fysioterapi, holdtræning 8 personer, egne lokaler	Free-of-charge physiotherapy, group training 8 persons, own premises	high
2812	Vederlagsfri fysioterapi, holdtræning 9 personer, egne lokaler	Free-of-charge physiotherapy, group training 9 persons, own premises	high
2813	Vederlagsfri fysioterapi, holdtræning 1 person	Free-of-charge physiotherapy, group training 1 person	high
2814	Vederlagsfri fysioterapi, holdtræning 2 personer	Free-of-charge physiotherapy, group training 2 persons	high
2815	Vederlagsfri fysioterapi, holdtræning 3 personer	Free-of-charge physiotherapy, group training 3 persons	high
2816	Vederlagsfri fysioterapi, holdtræning 4 personer	Free-of-charge physiotherapy, group training 4 persons	high
2817	Vederlagsfri fysioterapi, holdtræning 5 personer	Free-of-charge physiotherapy, group training 5 persons	high
2818	Vederlagsfri fysioterapi, holdtræning 6 personer	Free-of-charge physiotherapy, group training 6 persons	high
2819	Vederlagsfri fysioterapi, holdtræning 7 personer	Free-of-charge physiotherapy, group training 7 persons	high
2820	Vederlagsfri fysioterapi, holdtræning 8 personer	Free-of-charge physiotherapy, group training 8 persons	high
2822	Vederlagsfri fysioterapi, i hjem (uden klinik)	Free-of-charge physiotherapy, at home (without clinic)	high
2825	Vederlagsfri fysioterapi, information og vejledning	Free-of-charge physiotherapy, information and guidance	high
2826	Vederlagsfri fysioterapi, kompenserende behandling	Free-of-charge physiotherapy, compensatory treatment	high
2828	Vederlagsfri fysioterapi, kørselsgodtgørelse I	Free-of-charge physiotherapy, mileage allowance I	high
2831	Vederlagsfri fysioterapi, mandag-fredag 16-20, lørdag 08-20	Free-of-charge physiotherapy, Monday-Friday 16:00-20:00, Saturday 08:00-20:00	high
2832	Vederlagsfri fysioterapi, mandag-fredag 20-08, søndag/helligdag	Free-of-charge physiotherapy, Monday-Friday 20:00-08:00, Sunday/public holiday	high
2837	Vederlagsfri fysioterapi, opfølgende træningsterapi	Free-of-charge physiotherapy, follow-up training therapy	high
2838	Vederlagsfri fysioterapi, plejehjem (uden klinik)	Free-of-charge physiotherapy, nursing home (without clinic)	high
2842	Vederlagsfri fysioterapi, psykomotorisk bevægelsesterapi	Free-of-charge physiotherapy, psychomotor movement therapy	high
2845	Vederlagsfri fysioterapi, styrketræning (amt 30)	Free-of-charge physiotherapy, strength training (county 30)	medium
2852	Vederlagsfri fysioterapi, øvelsesterapi (hold)	Free-of-charge physiotherapy, exercise therapy (group)	high
2853	Vederlagsfri fysioterapi, øvelsesterapi (individuel)	Free-of-charge physiotherapy, exercise therapy (individual)	high
2859	Psykologhjælp, 2 personers konsultation, følgende konsultation	Psychology service, 2-person consultation, subsequent consultation	high
2861	Psykologhjælp, afstandstillæg 0-4 km	Psychology service, distance supplement 0-4 km	high
2862	Psykologhjælp, barn med pårørende, efter konsultation	Psychology service, child with relatives, subsequent consultation	high
2863	Psykologhjælp, barn med pårørende, 1. konsultation	Psychology service, child with relatives, 1st consultation	high
2877	Psykologhjælp, gruppekonsultation 3 personer, 1.	Psychology service, group consultation, 3 persons, 1st	high
2880	Psykologhjælp, gruppekonsultation 3 personer	Psychology service, group consultation, 3 persons	high
2881	Psykologhjælp, gruppekonsultation 4 personer	Psychology service, group consultation, 4 persons	high
2882	Psykologhjælp, gruppekonsultation 5 personer	Psychology service, group consultation, 5 persons	high
2883	Psykologhjælp, gruppekonsultation 6 personer	Psychology service, group consultation, 6 persons	high
2884	Psykologhjælp, individuel konsultation, efter konsultation	Psychology service, individual consultation, subsequent consultation	high
2895	Kiropraktik kronikere, kiropraktisk klinisk grundydelse a	Chiropractic, chronic patients, basic chiropractic clinical service a	high
2896	Kiropraktik kronikere, kiropraktisk klinisk grundydelse b	Chiropractic, chronic patients, basic chiropractic clinical service b	high
2897	Kiropraktik kronikere, kiropraktisk klinisk ydelse	Chiropractic, chronic patients, chiropractic clinical service	high
2899	Kiropraktik kronikere, supplerende røntgenundersøgelse	Chiropractic, chronic patients, supplementary radiographic examination	high
2904	Kiropraktik kronikere, diagnosticering og beskrivelse	Chiropractic, chronic patients, diagnosis and description	high
2905	Kiropraktik kronikere, introduktion til superviseret træning	Chiropractic, chronic patients, introduction to supervised training	high
2919	Vederlagsfri ridefysioterapi, fysioterapeuthonorar ½ time, 4 personer	Free-of-charge horseback-riding physiotherapy, physiotherapist fee, half hour, 4 persons	medium
2923	Vederlagsfri ridefysioterapi, fysioterapeuthonorar ½ time, 3 personer	Free-of-charge horseback-riding physiotherapy, physiotherapist fee, half hour, 3 persons	medium
2927	Vederlagsfri ridefysioterapi, rideskolehonorar 4 personer	Free-of-charge horseback-riding physiotherapy, riding-school fee, 4 persons	high
2929	Høreomsorg, uafsluttet forløb	Hearing care, uncompleted course of treatment	high
2930	Gynækologi/obstetrik, (vejledt) abrasio, cervix, følgende	Gynaecology/obstetrics, (guided) curettage, cervix, subsequent	medium
2931	Gynækologi/obstetrik, (vejledt) abrasio, cervix, 1.	Gynaecology/obstetrics, (guided) curettage, cervix, 1st	medium
2932	Gynækologi/obstetrik, (vejledt) abrasio, corpus, følgende	Gynaecology/obstetrics, (guided) curettage, corpus, subsequent	medium
2934	Gynækologi/obstetrik, (vejledt) abrasio, corpus, 1.	Gynaecology/obstetrics, (guided) curettage, corpus, 1st	medium
2935	Gynækologi/obstetrik, (vejledt) abrasio, cervix, følgende, i anæstesi	Gynaecology/obstetrics, (guided) curettage, cervix, subsequent, with anaesthesia	medium
2936	Gynækologi/obstetrik, (vejledt) abrasio, corpus, følgende, i anæstesi	Gynaecology/obstetrics, (guided) curettage, corpus, subsequent, with anaesthesia	medium
2942	Gynækologi/obstetrik, 2. konsultation, medicinsk abort	Gynaecology/obstetrics, 2nd consultation, medical abortion	high
2944	Gynækologi/obstetrik, 2. konsultation, kirurgisk abort	Gynaecology/obstetrics, 2nd consultation, surgical abortion	high
2946	Gynækologi/obstetrik, 3. konsultation, ukompliceret	Gynaecology/obstetrics, 3rd consultation, uncomplicated	high
2950	Gynækologi/obstetrik, blod-glukose (ej stix) 4	Gynaecology/obstetrics, blood glucose (not stix) 4	high
2951	Gynækologi/obstetrik, blod-glukose (stix) 1	Gynaecology/obstetrics, blood glucose (stix) 1	high
2957	Gynækologi/obstetrik, blodprøve, ekspedition 1	Gynaecology/obstetrics, blood sample, handling 1	high
2959	Gynækologi/obstetrik, blokadebehandling af bækken	Gynaecology/obstetrics, nerve block treatment of the pelvis	high
2961	Gynækologi/obstetrik, clamydia immunfluorescens 3	Gynaecology/obstetrics, chlamydia immunofluorescence 3	high
2962	Gynækologi/obstetrik, clamydiabestemmelse 10	Gynaecology/obstetrics, chlamydia determination 10	high
2967	Gynækologi/obstetrik, dilatation af cervix, følgende, i anæstesi	Gynaecology/obstetrics, dilatation of the cervix, subsequent, with anaesthesia	high
2968	Gynækologi/obstetrik, dilatation af cervix, 1.	Gynaecology/obstetrics, dilatation of the cervix, 1st	high
2969	Gynækologi/obstetrik, dilatation af cervix, følgende	Gynaecology/obstetrics, dilatation of the cervix, subsequent	high
2970	Gynækologi/obstetrik, dilatation af cervix, 1., i anæstesi	Gynaecology/obstetrics, dilatation of the cervix, 1st, with anaesthesia	high
2971	Gynækologi/obstetrik, dyrkning af gærsvamp (ekspedition) 1	Gynaecology/obstetrics, culture of yeast fungus (handling) 1	high
2972	Gynækologi/obstetrik, dyrkning af gærsvamp 10	Gynaecology/obstetrics, culture of yeast fungus 10	high
2975	Gynækologi/obstetrik, el-stimulation af bækkenbund	Gynaecology/obstetrics, electrical stimulation of the pelvic floor	high
2976	Gynækologi/obstetrik, el-stimulation af bækkenbund	Gynaecology/obstetrics, electrical stimulation of the pelvic floor	high
2977	Gynækologi/obstetrik, el-stimulation af bækkenbund	Gynaecology/obstetrics, electrical stimulation of the pelvic floor	high
2978	Gynækologi/obstetrik, endometriedestruktion	Gynaecology/obstetrics, endometrial destruction	high
2979	Gynækologi/obstetrik, evacuatio, opfølgende konsultation	Gynaecology/obstetrics, evacuation, follow-up consultation	high
2987	Gynækologi/obstetrik, genetisk rådgivning	Gynaecology/obstetrics, genetic counselling	high
2989	Gynækologi/obstetrik, hymenal- eller vulvaplastik	Gynaecology/obstetrics, hymenal or vulvar plasty	medium
2997	Gynækologi/obstetrik, intrauterin fjernelse af spiral, følgende, i anæstesi	Gynaecology/obstetrics, intrauterine removal of coil, subsequent, with anaesthesia	medium
2998	Gynækologi/obstetrik, intrauterin fjernelse af spiral, 1., i anæstesi	Gynaecology/obstetrics, intrauterine removal of coil, 1st, with anaesthesia	medium
2999	Gynækologi/obstetrik, intrauterin fjernelse af spiral, følgende	Gynaecology/obstetrics, intrauterine removal of coil, subsequent	medium
3000	Gynækologi/obstetrik, Intrauterin fjernelse af spiral 1.	Gynaecology/obstetrics, intrauterine removal of coil, 1st	high
3001	Gynækologi/obstetrik, Intracervikal insemination	Gynaecology/obstetrics, intracervical insemination	high
3002	Gynækologi/obstetrik, Intrauterin insemination	Gynaecology/obstetrics, intrauterine insemination	high
3007	Gynækologi/obstetrik, Kryobehandling cervix følgende i anæstesi	Gynaecology/obstetrics, cryotherapy of cervix, subsequent, with anaesthesia	high
3008	Gynækologi/obstetrik, Kryobehandling cervix 1.	Gynaecology/obstetrics, cryotherapy of cervix, 1st	high
3009	Gynækologi/obstetrik, Kryobehandling cervix 1. i anæstesi	Gynaecology/obstetrics, cryotherapy of cervix, 1st, with anaesthesia	high
3010	Gynækologi/obstetrik, Kryobehandling cervix følgende	Gynaecology/obstetrics, cryotherapy of cervix, subsequent	high
3013	Gynækologi/obstetrik, Mikroskopi farvet sekret 3	Gynaecology/obstetrics, microscopy of stained secretion 3	high
3014	Gynækologi/obstetrik, Mikroskopi ufarvet sekret 3	Gynaecology/obstetrics, microscopy of unstained secretion 3	high
3015	Gynækologi/obstetrik, Obstetrisk bistand	Gynaecology/obstetrics, obstetric assistance	high
3016	Gynækologi/obstetrik, Opsætning af spiral	Gynaecology/obstetrics, insertion of coil	high
3017	Gynækologi/obstetrik, Opsætning af spiral	Gynaecology/obstetrics, insertion of coil	high
3018	Gynækologi/obstetrik, Opsætning spiral følgende i anæstesi	Gynaecology/obstetrics, insertion of coil, subsequent, with anaesthesia	high
3019	Gynækologi/obstetrik, Opsætning spiral 1.	Gynaecology/obstetrics, insertion of coil, 1st	high
3020	Gynækologi/obstetrik, Opsætning spiral følgende	Gynaecology/obstetrics, insertion of coil, subsequent	high
3021	Gynækologi/obstetrik, Opsætning spiral 1. i anæstesi	Gynaecology/obstetrics, insertion of coil, 1st, with anaesthesia	high
3022	Gynækologi/obstetrik, Ovariecystepunktur 1. i anæstesi	Gynaecology/obstetrics, ovarian cyst puncture, 1st, with anaesthesia	high
3023	Gynækologi/obstetrik, Ovariecystepunktur følgende	Gynaecology/obstetrics, ovarian cyst puncture, subsequent	high
3024	Gynækologi/obstetrik, Ovariecystepunktur 1.	Gynaecology/obstetrics, ovarian cyst puncture, 1st	high
3026	Gynækologi/obstetrik, Paracervikal/intracervikal	Gynaecology/obstetrics, paracervical/intracervical	medium
3029	Gynækologi/obstetrik, Polypfjernelse cervix uteri	Gynaecology/obstetrics, polyp removal, cervix uteri	high
3030	Gynækologi/obstetrik, Polypfjernelse	Gynaecology/obstetrics, polyp removal	high
3033	Gynækologi/obstetrik, Sekret-Gonokok *exp* 1	Gynaecology/obstetrics, secretion gonococcus *exp* 1	low
3034	Gynækologi/obstetrik, Sekret-Gonokok *mikroskopi* 2	Gynaecology/obstetrics, secretion gonococcus *microscopy* 2	high
3036	Gynækologi/obstetrik, Senere konsultation fertilitet	Gynaecology/obstetrics, later consultation, fertility	high
3041	Gynækologi/obstetrik, Serum-østradiolbestemmelse 6	Gynaecology/obstetrics, serum oestradiol determination 6	high
3042	Gynækologi/obstetrik, Sexologisk samtale	Gynaecology/obstetrics, sexological consultation	high
3047	Gynækologi/obstetrik, Svangerskabsreaktion 5	Gynaecology/obstetrics, pregnancy test 5	high
3048	Gynækologi/obstetrik, Sædpræparation til insemination	Gynaecology/obstetrics, sperm preparation for insemination	high
3050	Gynækologi/obstetrik, Tillæg for tolk fertilitet	Gynaecology/obstetrics, interpreter surcharge, fertility	high
3053	Gynækologi/obstetrik, Telefonrådgivning praktiserende læge	Gynaecology/obstetrics, telephone advice from GP	high
3054	Gynækologi/obstetrik, Tumorfjernelse mamma 1. i anæstesi	Gynaecology/obstetrics, tumour removal, breast, 1st, with anaesthesia	high
3055	Gynækologi/obstetrik, Tumorfjernelse mamma følgende	Gynaecology/obstetrics, tumour removal, breast, subsequent	high
3056	Gynækologi/obstetrik, Tumorfjernelse mamma 1.	Gynaecology/obstetrics, tumour removal, breast, 1st	high
3057	Gynækologi/obstetrik, Urin-bakterier *dyrkning Park* 3	Gynaecology/obstetrics, urine bacteria *culture, Park* 3	medium
3058	Gynækologi/obstetrik, Urin-bakterier *dyrkning Rest* 12	Gynaecology/obstetrics, urine bacteria *culture, Rest* 12	medium
3062	Gynækologi/obstetrik, Urin-hormonanalyse *exp* 1	Gynaecology/obstetrics, urine hormone analysis *exp* 1	low
3067	Gynækologi/obstetrik, Ultralydsscanning	Gynaecology/obstetrics, ultrasound scan	high
3070	Gynækologi/obstetrik, Undersøgelse vaginalsekret 1	Gynaecology/obstetrics, examination of vaginal secretion 1	high
3079	Gynækologi/obstetrik, Vandscanning	Gynaecology/obstetrics, saline infusion sonography	medium
3090	Gynækologi/obstetrik, indsætning gestagenimplantat	Gynaecology/obstetrics, insertion of progestogen implant	high
3094	Intern medicin, *blod* erytrocytter-Mikroskopi 1	Internal medicine, *blood* erythrocytes microscopy 1	high
3095	Intern medicin, *blod* erytrocytter-Reticulocyt 2	Internal medicine, *blood* erythrocytes reticulocytes 2	high
3096	Intern medicin, *fastende patient* serum-Lipidfraktion 25	Internal medicine, *fasting patient* serum lipid fraction 25	high
3097	Intern medicin, *fastende patient* serum-Triglycerid 15	Internal medicine, *fasting patient* serum triglycerides 15	high
3102	Intern medicin, Allergenprovokation fødemidler oralt	Internal medicine, allergen provocation, foods, oral	high
3104	Intern medicin, Allergivaccination 1. allergen	Internal medicine, allergy vaccination, 1st allergen	high
3105	Intern medicin, Allergivaccination efterfølgende	Internal medicine, allergy vaccination, subsequent	high
3106	Intern medicin, Arbejds-EKG *master* 18	Internal medicine, exercise ECG *master* 18	high
3111	Intern medicin, Blod-Erytrocytter *volumenfraktion* 1	Internal medicine, blood erythrocytes *volume fraction* 1	high
3112	Intern medicin, Blod-Glukose *ej Stix* 4	Internal medicine, blood glucose *not stix* 4	high
3113	Intern medicin, Blod-Glukose *stix* 1	Internal medicine, blood glucose *stix* 1	high
3115	Intern medicin, Blod-Leukocytter *park* 1	Internal medicine, blood leukocytes *park* 1	medium
3117	Intern medicin, Blod-Trombocytter *park* 3	Internal medicine, blood platelets *park* 3	medium
3120	Intern medicin, Blodprøve EKG i hjem 6	Internal medicine, blood sample and ECG at home 6	high
3121	Intern medicin, Blodprøve *exp* 1	Internal medicine, blood sample *exp* 1	low
3126	Intern medicin, Cøliakipakken amt 15	Internal medicine, coeliac panel (county 15)	medium
3128	Intern medicin, Døgnpulsoxymetri	Internal medicine, 24-hour pulse oximetry	high
3130	Intern medicin, EKG 12 afledninger	Internal medicine, 12-lead ECG	high
3132	Intern medicin, EKG 3 ekstremitetsafledninger, 3 præcordiale afledninger, 9	Internal medicine, ECG 3 extremity leads, 3 precordial leads, 9	medium
3137	Intern medicin, Funktionsprøve - dioxygen-absorption 15	Internal medicine, function test - oxygen absorption 15	low
3142	Intern medicin, Knogletæthedsmåling, endokrinologisk	Internal medicine, bone density measurement, endocrinological	high
3145	Intern medicin, Kontrol oesophagus, gaster, duodenum	Internal medicine, follow-up oesophagus, stomach, duodenum	high
3146	Intern medicin, Kontrol sigmoideoskopi / koloskopi	Internal medicine, follow-up sigmoidoscopy / colonoscopy	high
3156	Intern medicin, Oesophagus, gaster, duodenum	Internal medicine, oesophagus, stomach, duodenum	high
3157	Intern medicin, Oscillometri 2 ekstremiteter 6	Internal medicine, oscillometry, 2 extremities 6	medium
3158	Intern medicin, Oscillometri 4 ekstremiteter 10	Internal medicine, oscillometry, 4 extremities 10	medium
3164	Intern medicin, Patient-EKG 3 ekstremitetsafledninger, 3 præcordiale afledninger, 9	Internal medicine, patient ECG 3 extremity leads, 3 precordial leads, 9	medium
3166	Intern medicin, Patient-EKG afledninger 6 1	Internal medicine, patient ECG leads 6 1	low
3176	Intern medicin, Sigmoideoskopi / koloskopi	Internal medicine, sigmoidoscopy / colonoscopy	high
3180	Intern medicin, Telefonisk rådgivning fra praktiserende læge	Internal medicine, telephone advice from general practitioner	high
3182	Intern medicin, Urin-bakterier, dyrkning, parkering 3	Internal medicine, urine bacteria, culture, parked 3	low
3183	Intern medicin, Urin-bakterier, dyrkning, rest 12	Internal medicine, urine bacteria, culture, remainder 12	low
3190	Intern medicin, Urin-sediment, parkering 6	Internal medicine, urine sediment, parked 6	low
3191	Intern medicin, Udvidet lungefunktionsprøve	Internal medicine, extended pulmonary function test	high
3192	Intern medicin, Ultralyd øvre abdomen	Internal medicine, ultrasound, upper abdomen	high
3205	Almen Lægehjælp 80, Afregning af sygebesøg og møder (regional §2-aftale, Region Hovedstaden)	General practitioner, settlement of home visits and meetings (regional §2 agreement, Capital Region)	high
3214	Almen Lægehjælp 80, Alvorligt syge og døende — i lægens konsultation (regional §2-aftale, Region Syddanmark)	General practitioner, seriously ill and dying — in the physician's consultation (regional §2 agreement, Region of Southern Denmark)	high
3215	Almen Lægehjælp 80, Alvorligt syge og døende — via telefon per 10 minutter (regional §2-aftale, Region Syddanmark)	General practitioner, seriously ill and dying — by telephone per 10 minutes (regional §2 agreement, Region of Southern Denmark)	high
3221	Almen Lægehjælp 80, EKG inklusive præcordiale afledninger (regional §2-aftale, Region Midtjylland)	General practitioner, ECG including precordial leads (regional §2 agreement, Central Denmark Region)	high
3223	Almen Lægehjælp 80, Fokuseret somatisk undersøgelse til borgere med psykisk sygdom	General practitioner, focused somatic examination for citizens with mental illness	high
3240	Almen Lægehjælp 80, Indkaldelse demensundersøgelse (regional §2-aftale, Region Hovedstaden)	General practitioner, summons for dementia examination (regional §2 agreement, Capital Region)	high
3246	Almen Lægehjælp 80, Kørselsgodtgørelse per kørt kilometer (regional §2-aftale, Region Hovedstaden)	General practitioner, mileage allowance per kilometre driven (regional §2 agreement, Capital Region)	high
3247	Almen Lægehjælp 80, Lægefaglig vurdering af patienter på kommunal akutfunktion/akutteam	General practitioner, medical assessment of patients at a municipal acute-care unit/acute team	high
3249	Almen Lægehjælp 80, Medgået tidsforbrug for kørsel per påbegyndt 10. minut udover 15 kilometer (regional §2-aftale, Region Sjælland)	General practitioner, time spent on driving per commenced 10th minute beyond 15 kilometres (regional §2 agreement, Region Zealand)	high
3257	Almen Lægehjælp 80, Opfølgning efter indlæggelse — i lægens konsultation (regional §2-aftale, Region Syddanmark)	General practitioner, follow-up after hospitalisation — in the physician's consultation (regional §2 agreement, Region of Southern Denmark)	high
3258	Almen Lægehjælp 80, Opsøgende hjemmebesøg (skrøbelige ældre, normalt over 75 år) + tidsforbrugstillæg og eventuelt	General practitioner, outreach home visit (frail elderly, normally over 75 years) + time-expenditure supplement and possibly	high
3259	Almen Lægehjælp 80, Planlægningsmøde (regional §2-aftale, Region Midtjylland)	General practitioner, planning meeting (regional §2 agreement, Central Denmark Region)	high
3271	Almen Lægehjælp 80, Sundhedstjek til borgere på botilbud + tidsforbrugstillæg og eventuelt	General practitioner, health check for residents in supported-housing facilities + time-expenditure supplement and possibly	high
3278	Almen Lægehjælp 80, Telefonisk henvendelse til/fra kommunernes Social- og Sundhedsforvaltninger til/fra lægen (regional §2-aftale, Region Sjælland)	General practitioner, telephone contact to/from the municipalities' Social and Health Administrations to/from the physician (regional §2 agreement, Region Zealand)	high
3281	Almen Lægehjælp 80, Tidsforbrugstillæg 15 minutter (regional §2-aftale, Region Syddanmark)	General practitioner, time-expenditure supplement 15 minutes (regional §2 agreement, Region of Southern Denmark)	high
3282	Almen Lægehjælp 80, Tidsforbrugstillæg 20 minutter (regional §2-aftale, Region Syddanmark)	General practitioner, time-expenditure supplement 20 minutes (regional §2 agreement, Region of Southern Denmark)	high
3283	Almen Lægehjælp 80, Tidsforbrugstillæg 25 minutter (regional §2-aftale, Region Syddanmark)	General practitioner, time-expenditure supplement 25 minutes (regional §2 agreement, Region of Southern Denmark)	high
3284	Almen Lægehjælp 80, Tidsforbrugstillæg 30 minutter (regional §2-aftale, Region Syddanmark)	General practitioner, time-expenditure supplement 30 minutes (regional §2 agreement, Region of Southern Denmark)	high
3285	Almen Lægehjælp 80, Tidstillægsmodul (regional §2-aftale, Region Midtjylland)	General practitioner, time-supplement module (regional §2 agreement, Central Denmark Region)	high
3286	Almen Lægehjælp 80, Tværsektoriel lægelig kommunikation (regional §2-aftale, Region Hovedstaden)	General practitioner, cross-sectoral medical communication (regional §2 agreement, Capital Region)	high
3292	Almen Lægehjælp 80, Vaccination mod hepatitis B efter konkret anbefaling fra Styrelsen for Patientsikkerhed	General practitioner, vaccination against hepatitis B following a specific recommendation from the Danish Patient Safety Authority	high
3294	Almen Lægehjælp 80, Video-/telekonference per påbegyndt 10 minutter (regional §2-aftale, Region Syddanmark)	General practitioner, video/teleconference per commenced 10 minutes (regional §2 agreement, Region of Southern Denmark)	high
3297	Almen Lægehjælp 80, Årlig helbredsundersøgelse (regional §2-aftale, Region Hovedstaden)	General practitioner, annual health examination (regional §2 agreement, Capital Region)	high
3299	Almen lægehjælp 80, §2-aftale Århus amtskommune	General practitioner, §2 agreement, Aarhus county municipality	medium
3310	Almen lægehjælp 80, 1. orale poliovaccination	General practitioner, 1st oral polio vaccination	high
3321	Almen lægehjælp 80, 2. orale poliovaccination	General practitioner, 2nd oral polio vaccination	high
3325	Almen lægehjælp 80, 3 undersøgelser for blod i fæces 5	General practitioner, 3 tests for blood in faeces 5	medium
3329	Almen lægehjælp 80, 3. orale poliovaccination	General practitioner, 3rd oral polio vaccination	high
3340	Almen lægehjælp 80, Addition, Risikoestimering	General practitioner, add-on, risk estimation	medium
3341	Almen lægehjælp 80, Afstandstakst over 10 kilometer	General practitioner, distance fee over 10 kilometres	high
3342	Almen lægehjælp 80, Afstandstillæg over 20 kilometer	General practitioner, distance supplement over 20 kilometres	high
