code,prefix,database,value,description,description_da,description_da_alt,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
EDU_field_202010,EDU,field,202010,"Pædagogik, teoretisk/videnskabelig u.n.a.","Pædagogik, teoretisk/videnskabelig u.n.a.",,"Pedagogy, theoretical/scientific u.n.a.",,,translated,raw_edu_field,medium,danish,,
EDU_field_304015,EDU,field,304015,Musik og musikpædagogik,Musik og musikpædagogik,,Music and music pedagogy,,,translated,raw_edu_field,medium,danish,,
EDU_field_254020,EDU,field,254020,Arkæologi middelalder,Arkæologi middelalder,,Archaeology medieval,,,translated,raw_edu_field,medium,danish,,
EDU_field_256245,EDU,field,256245,Asiatisk sprog og kultur i øvrigt,Asiatisk sprog og kultur i øvrigt,,Asian language and culture other,,,translated,raw_edu_field,medium,danish,,
EDU_field_555082,EDU,field,555082,Råstofudvinding,Råstofudvinding,,Raw material recovery,,,translated,raw_edu_field,medium,danish,,
EDU_field_651515,EDU,field,651515,Tandteknik og laboratorietandteknik,Tandteknik og laboratorietandteknik,,Dental technology and laboratory dental technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_257470,EDU,field,257470,"Spansk-fransk, erhvervssproglig","Spansk-fransk, erhvervssproglig",,"Spanish-French, vocational linguistic",,,translated,raw_edu_field,medium,danish,,
EDU_field_582025,EDU,field,582025,Montering mv. af glas og aluminium,Montering mv. af glas og aluminium,,Mounting etc. of glass and aluminum,,,translated,raw_edu_field,medium,danish,,
EDU_field_256010,EDU,field,256010,Iransk,Iransk,,Iranian studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_257450,EDU,field,257450,"Tysk-fransk, erhvervssproglig","Tysk-fransk, erhvervssproglig",,"German-French, vocational linguistic",,,translated,raw_edu_field,medium,danish,,
EDU_field_257215,EDU,field,257215,"Tysk, erhvervssproglig","Tysk, erhvervssproglig",,"German, vocational linguistic",,,translated,raw_edu_field,medium,danish,,
EDU_field_355015,EDU,field,355015,Kommunikation,Kommunikation,,Communication,,,translated,raw_edu_field,medium,danish,,
EDU_field_555070,EDU,field,555070,"Design- og materialeteknologi, tekstil","Design- og materialeteknologi, tekstil",,Design and materials technology textiles,,,translated,raw_edu_field,medium,danish,,
EDU_field_153010,EDU,field,153010,Fri ungdomsuddannelse,Fri ungdomsuddannelse,,Free youth education,,,translated,raw_edu_field,medium,danish,,
EDU_field_574015,EDU,field,574015,Automekanik mv.,Automekanik mv.,,Automotive technology etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_271020,EDU,field,271020,"Grafisk, trykteknik","Grafisk, trykteknik",,"Graphic, printing technology",,,translated,raw_edu_field,medium,danish,,
EDU_field_252010,EDU,field,252010,Historie,Historie,,History,,,translated,raw_edu_field,medium,danish,,
EDU_field_409030,EDU,field,409030,"Erhvervsøkonomi mv., andre tværfaglige uddannelser","Erhvervsøkonomi mv., andre tværfaglige uddannelser",,"Business economics etc., other interdisciplinary programs",,,translated,raw_edu_field,medium,danish,,
EDU_field_309510,EDU,field,309510,Designteknologi,Designteknologi,,Designteknologi,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_257220,EDU,field,257220,"Spansk, erhvervssproglig","Spansk, erhvervssproglig",,"Spanish, vocational language",,,translated,raw_edu_field,medium,danish,,
EDU_field_258210,EDU,field,258210,Sprogvidenskab generelt,Sprogvidenskab generelt,,"Linguistics, general",,,translated,raw_edu_field,medium,danish,,
EDU_field_353520,EDU,field,353520,Kulturgeografi,Kulturgeografi,,Cultural geography,,,translated,raw_edu_field,medium,danish,,
EDU_field_353515,EDU,field,353515,Etnologi og folkemindevidenskab,Etnologi og folkemindevidenskab,,Ethnology and folklore,,,translated,raw_edu_field,medium,danish,,
EDU_field_602040,EDU,field,602040,Greenkeeping,Greenkeeping,,Greenkeeping,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_453025,EDU,field,453025,Biofysiske uddannelser,Biofysiske uddannelser,,Biofysiske  programmes,,,translated,raw_edu_field,medium,danish,,
EDU_field_354525,EDU,field,354525,"Samfundsvidenskab, tværfaglige uddannelser i øvrigt","Samfundsvidenskab, tværfaglige uddannelser i øvrigt",,"Social sciences, other interdisciplinary programs",,,translated,raw_edu_field,medium,danish,,
EDU_field_255410,EDU,field,255410,Spansk,Spansk,,Spanish,,,translated,raw_edu_field,medium,danish,,
EDU_field_303010,EDU,field,303010,Kunsthistorie,Kunsthistorie,,Art history,,,translated,raw_edu_field,medium,danish,,
EDU_field_255645,EDU,field,255645,Slavisk sprog og kultur i øvrigt,Slavisk sprog og kultur i øvrigt,,"Slavic languages and culture, other",,,translated,raw_edu_field,medium,danish,,
EDU_field_703015,EDU,field,703015,"Turisme, fritid og events","Turisme, fritid og events",,"Tourism, leisure and events",,,translated,raw_edu_field,medium,danish,,
EDU_field_271035,EDU,field,271035,Skilteteknik,Skilteteknik,,Sign-making technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_654510,EDU,field,654510,Psykomotorik og afspænding,Psykomotorik og afspænding,,Psychomotor skills and relaxation,,,translated,raw_edu_field,medium,danish,,
EDU_field_302515,EDU,field,302515,Bildende kunst i øvrigt,Bildende kunst i øvrigt,,"Fine arts, other",,,translated,raw_edu_field,medium,danish,,
EDU_field_458515,EDU,field,458515,Forsikringsvidenskab,Forsikringsvidenskab,,Insurance studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_271525,EDU,field,271525,Visuel kommunikation og animation,Visuel kommunikation og animation,,Visual communication and animation,,,translated,raw_edu_field,medium,danish,,
EDU_field_309010,EDU,field,309010,Teatervidenskab,Teatervidenskab,,Theatre studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_308010,EDU,field,308010,Teater- og eventteknik mv.,Teater- og eventteknik mv.,,Theater and event technology etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_603010,EDU,field,603010,Skov- og naturteknik,Skov- og naturteknik,,Forest and nature technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_455510,EDU,field,455510,Geologi,Geologi,,Geology,,,translated,raw_edu_field,medium,danish,,
EDU_field_454010,EDU,field,454010,Kemi,Kemi,,Chemistry,,,translated,raw_edu_field,medium,danish,,
EDU_field_257015,EDU,field,257015,Tegnsprogstolkning,Tegnsprogstolkning,,Sign-language interpretation,,,translated,raw_edu_field,medium,danish,,
EDU_field_309515,EDU,field,309515,Design og business,Design og business,,Design and business,,,translated,raw_edu_field,medium,danish,,
EDU_field_602010,EDU,field,602010,Gartneri u.n.a.,Gartneri u.n.a.,,Gartneri u.n.a.,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_254005,EDU,field,254005,Arkæologi,Arkæologi,,Archaeology,,,translated,raw_edu_field,medium,danish,,
EDU_field_452010,EDU,field,452010,Biokemi og molekylær biologi,Biokemi og molekylær biologi,,Biochemistry and molecular biology,,,translated,raw_edu_field,medium,danish,,
EDU_field_655510,EDU,field,655510,Folkesundhedsvidenskab,Folkesundhedsvidenskab,,Public health science,,,translated,raw_edu_field,medium,danish,,
EDU_field_352520,EDU,field,352520,Globalisering og udvikling,Globalisering og udvikling,,Globalization and development,,,translated,raw_edu_field,medium,danish,,
EDU_field_255420,EDU,field,255420,Fransk,Fransk,,French,,,translated,raw_edu_field,medium,danish,,
EDU_field_582030,EDU,field,582030,Tagdækning mv.,Tagdækning mv.,,Roof covering etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_652510,EDU,field,652510,Jordemoderuddannelser,Jordemoderuddannelser,,Midwifery training,,,translated,raw_edu_field,medium,danish,,
EDU_field_209015,EDU,field,209015,Humanistisk-pædagogiske uddannelser,Humanistisk-pædagogiske uddannelser,,Humanities and pedagogical training,,,translated,raw_edu_field,medium,danish,,
EDU_field_354035,EDU,field,354035,Sociologi i øvrigt,Sociologi i øvrigt,,Sociology NEC,,,translated,raw_edu_field,medium,danish,,
EDU_field_454515,EDU,field,454515,Geofysik,Geofysik,,Geophysics,,,translated,raw_edu_field,medium,danish,,
EDU_field_457010,EDU,field,457010,Fysik,Fysik,,Physics,,,translated,raw_edu_field,medium,danish,,
EDU_field_255010,EDU,field,255010,Kultur og kulturformidling,Kultur og kulturformidling,,Culture and cultural dissemination,,,translated,raw_edu_field,medium,danish,,
EDU_field_601010,EDU,field,601010,"Jordbrug, skovbrug og fiskeri u.n.a.","Jordbrug, skovbrug og fiskeri u.n.a.",,"Agriculture, forestry, and fishing n.a.",,,translated,raw_edu_field,medium,danish,,
EDU_field_802515,EDU,field,802515,Lufthavnsuddannelser,Lufthavnsuddannelser,,Lufthavns programmes,,,translated,raw_edu_field,medium,danish,,
EDU_field_701510,EDU,field,701510,Bygnings- og brugerservice u.n.a.,Bygnings- og brugerservice u.n.a.,,Construction and user services n.a.,,,translated,raw_edu_field,medium,danish,,
EDU_field_303510,EDU,field,303510,"Kunsthåndværk/design, guld og sølv","Kunsthåndværk/design, guld og sølv",,"Artisanry/design, gold and silver",,,translated,raw_edu_field,medium,danish,,
EDU_field_271520,EDU,field,271520,"Film, tv og medie, instruktion og tilrettelæggelse","Film, tv og medie, instruktion og tilrettelæggelse",,"Film, TV, and media, instruction and arrangement",,,translated,raw_edu_field,medium,danish,,
EDU_field_257010,EDU,field,257010,Sprogtolkning,Sprogtolkning,,Language interpreting,,,translated,raw_edu_field,medium,danish,,
EDU_field_271510,EDU,field,271510,"Film-, tv- og medieproduktion u.n.a.","Film-, tv- og medieproduktion u.n.a.",,"Film, TV, and media production n.a.",,,translated,raw_edu_field,medium,danish,,
EDU_field_653515,EDU,field,653515,Radiografi og billeddiagnostik,Radiografi og billeddiagnostik,,Radiography and imaging diagnostics,,,translated,raw_edu_field,medium,danish,,
EDU_field_555086,EDU,field,555086,Produktdesign og innovation mv.,Produktdesign og innovation mv.,,Product design and innovation etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_601535,EDU,field,601535,Dyrepasning,Dyrepasning,,Dyrepasning,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_456510,EDU,field,456510,Astronomi,Astronomi,,Astronomy,,,translated,raw_edu_field,medium,danish,,
EDU_field_751020,EDU,field,751020,Flyvevåbnet,Flyvevåbnet,,Air Force,,,translated,raw_edu_field,medium,danish,,
EDU_field_258410,EDU,field,258410,Sprog og internationale studier,Sprog og internationale studier,,Languages and international studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_702025,EDU,field,702025,Kosmetikeruddannelser,Kosmetikeruddannelser,,Kosmetiker programmes,,,translated,raw_edu_field,medium,danish,,
EDU_field_256235,EDU,field,256235,Thai,Thai,,Thai,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_201010,EDU,field,201010,Didaktik og studier i undervisningsmetode mv.,Didaktik og studier i undervisningsmetode mv.,,Didactics and studies in teaching methods etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_554510,EDU,field,554510,Nanoteknologi,Nanoteknologi,,Nanotechnology,,,translated,raw_edu_field,medium,danish,,
EDU_field_803510,EDU,field,803510,Togtransport,Togtransport,,Togtransport,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_453510,EDU,field,453510,"Miljø, tværfaglige uddannelser","Miljø, tværfaglige uddannelser",,"Environment, interdisciplinary education",,,translated,raw_edu_field,medium,danish,,
EDU_field_574010,EDU,field,574010,"Motorkøretøjs-, skibs- og flyteknik u.n.a.","Motorkøretøjs-, skibs- og flyteknik u.n.a.",,"Motor vehicle, ship and aircraft technology n.e.c.",,,translated,raw_edu_field,medium,danish,,
EDU_field_457510,EDU,field,457510,Matematik,Matematik,,Mathematics,,,translated,raw_edu_field,medium,danish,,
EDU_field_552510,EDU,field,552510,Miljø- og miljøbeskyttelsesteknik,Miljø- og miljøbeskyttelsesteknik,,Environmental and environmental protection technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_602510,EDU,field,602510,Jordbrugsøkonomi,Jordbrugsøkonomi,,Agricultural economics,,,translated,raw_edu_field,medium,danish,,
EDU_field_555050,EDU,field,555050,Keramik- og porcelænsindustri,Keramik- og porcelænsindustri,,Ceramic and porcelain industry,,,translated,raw_edu_field,medium,danish,,
EDU_field_304045,EDU,field,304045,Musiske uddannelser i øvrigt,Musiske uddannelser i øvrigt,,Musical education otherwise,,,translated,raw_edu_field,medium,danish,,
EDU_field_801525,EDU,field,801525,Skibsofficer,Skibsofficer,,Skibsofficer,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_453030,EDU,field,453030,Bioteknologiske tværfaglige uddannelser,Bioteknologiske tværfaglige uddannelser,,Biotechnological interdisciplinary education,,,translated,raw_edu_field,medium,danish,,
EDU_field_258415,EDU,field,258415,"Erhvervssprog, et sprog og virksomhedskommunikation","Erhvervssprog, et sprog og virksomhedskommunikation",,"Business language, a language and business communication",,,translated,raw_edu_field,medium,danish,,
EDU_field_655515,EDU,field,655515,Idræt og sundhed mv.,Idræt og sundhed mv.,,Physical education and health etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_452515,EDU,field,452515,Bioteknologi,Bioteknologi,,Biotechnology,,,translated,raw_edu_field,medium,danish,,
EDU_field_353510,EDU,field,353510,Antropologi/etnografi,Antropologi/etnografi,,Antropologi/etnografi,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_255610,EDU,field,255610,Balkanstudier,Balkanstudier,,Balkan studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_202020,EDU,field,202020,Tale- og hørepædagogik,Tale- og hørepædagogik,,Speech and Hearing Pedagogy,,,translated,raw_edu_field,medium,danish,,
EDU_field_574030,EDU,field,574030,Skibsbygningsteknik,Skibsbygningsteknik,,Shipbuilding technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_256610,EDU,field,256610,Filologi klassisk,Filologi klassisk,,Classical philology,,,translated,raw_edu_field,medium,danish,,
EDU_field_257815,EDU,field,257815,Nordisk sprog og litteratur,Nordisk sprog og litteratur,,Nordic Language and Literature,,,translated,raw_edu_field,medium,danish,,
EDU_field_801515,EDU,field,801515,"Kyst-, fiske- og sætteskipper","Kyst-, fiske- og sætteskipper",,"Coastal, Fishing, and Charter Skippers",,,translated,raw_edu_field,medium,danish,,
EDU_field_252015,EDU,field,252015,Idehistorie,Idehistorie,,History of ideas,,,translated,raw_edu_field,medium,danish,,
EDU_field_154010,EDU,field,154010,Særligt tilrettelagt ungdomsuddannelse,Særligt tilrettelagt ungdomsuddannelse,,Special Designed Youth Education,,,translated,raw_edu_field,medium,danish,,
EDU_field_603510,EDU,field,603510,Erhvervsfiskeri,Erhvervsfiskeri,,Commercial fishing,,,translated,raw_edu_field,medium,danish,,
EDU_field_257245,EDU,field,257245,"Arabisk, erhvervssproglig","Arabisk, erhvervssproglig",,"Arabic, Vocational Language",,,translated,raw_edu_field,medium,danish,,
EDU_field_255425,EDU,field,255425,Italiensk,Italiensk,,Italian,,,translated,raw_edu_field,medium,danish,,
EDU_field_256230,EDU,field,256230,Koreastudier,Koreastudier,,Korean studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_453020,EDU,field,453020,Nanoscience og nanobioscience,Nanoscience og nanobioscience,,Nanoscience and Nanobioscience,,,translated,raw_edu_field,medium,danish,,
EDU_field_452015,EDU,field,452015,Biomedicin og molekylær biomedicin,Biomedicin og molekylær biomedicin,,Biomedicine and Molecular Biomedicine,,,translated,raw_edu_field,medium,danish,,
EDU_field_655520,EDU,field,655520,"Sundhed, tværfaglige uddannelser i øvrigt","Sundhed, tværfaglige uddannelser i øvrigt",,"Health, Interdisciplinary Education Otherwise",,,translated,raw_edu_field,medium,danish,,
EDU_field_654525,EDU,field,654525,Musikterapi,Musikterapi,,Music therapy,,,translated,raw_edu_field,medium,danish,,
EDU_field_582060,EDU,field,582060,"Bygge- og anlægskonstruktion, tværfaglige uddannelser","Bygge- og anlægskonstruktion, tværfaglige uddannelser",,"Construction and Installation Design, Interdisciplinary Education",,,translated,raw_edu_field,medium,danish,,
EDU_field_553020,EDU,field,553020,Klima- og køleteknik,Klima- og køleteknik,,Climate and Refrigeration Technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_554010,EDU,field,554010,"Medicin-, sundhed- og velfærdsteknologi","Medicin-, sundhed- og velfærdsteknologi",,"Medicine, Health and Welfare Technologies",,,translated,raw_edu_field,medium,danish,,
EDU_field_354515,EDU,field,354515,Kultur- og sprogmødestudier,Kultur- og sprogmødestudier,,Cultural and Language Studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_258425,EDU,field,258425,"Erhvervssprog, tværfaglige uddannelser i øvrigt","Erhvervssprog, tværfaglige uddannelser i øvrigt",,"Business Languages, Interdisciplinary Programs Otherwise",,,translated,raw_edu_field,medium,danish,,
EDU_field_702010,EDU,field,702010,Frisør- og kosmetikeruddannelser u.n.a.,Frisør- og kosmetikeruddannelser u.n.a.,,Hairdressing and Cosmetology Programs U.N.A.,,,translated,raw_edu_field,medium,danish,,
EDU_field_703010,EDU,field,703010,Sportstræning og -teknik,Sportstræning og -teknik,,Sports Training and Technique,,,translated,raw_edu_field,medium,danish,,
EDU_field_271530,EDU,field,271530,"Film-, tv- og medieproduktion i øvrigt","Film-, tv- og medieproduktion i øvrigt",,"Film, TV and Media Production Otherwise",,,translated,raw_edu_field,medium,danish,,
EDU_field_352525,EDU,field,352525,International sikkerhed og folkeret,International sikkerhed og folkeret,,International Security and Public International Law,,,translated,raw_edu_field,medium,danish,,
EDU_field_302030,EDU,field,302030,Designer i øvrigt,Designer i øvrigt,,Design Otherwise,,,translated,raw_edu_field,medium,danish,,
EDU_field_751530,EDU,field,751530,Vagtservice,Vagtservice,,Vagtservice,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_257250,EDU,field,257250,"Kinesisk, erhvervssproglig","Kinesisk, erhvervssproglig",,"Chinese, Vocational Language",,,translated,raw_edu_field,medium,danish,,
EDU_field_354025,EDU,field,354025,Socialt arbejde/socialt entreprenørskab,Socialt arbejde/socialt entreprenørskab,,Social Work/Social Entrepreneurship,,,translated,raw_edu_field,medium,danish,,
EDU_field_581520,EDU,field,581520,By- og regionsplanlægning,By- og regionsplanlægning,,Urban and regional planning,,,translated,raw_edu_field,medium,danish,,
EDU_field_354015,EDU,field,354015,Socialvidenskab,Socialvidenskab,,Social science,,,translated,raw_edu_field,medium,danish,,
EDU_field_454015,EDU,field,454015,Medicinalkemi,Medicinalkemi,,Medicinal chemistry,,,translated,raw_edu_field,medium,danish,,
EDU_field_254030,EDU,field,254030,Nærorientalsk arkæologi og oldtidskultur,Nærorientalsk arkæologi og oldtidskultur,,Near Eastern archaeology and ancient civilizations,,,translated,raw_edu_field,medium,danish,,
EDU_field_401515,EDU,field,401515,Skatter og afgifter,Skatter og afgifter,,Taxes and tariffs,,,translated,raw_edu_field,medium,danish,,
EDU_field_352515,EDU,field,352515,"Samfundsstudier, andre verdensdele","Samfundsstudier, andre verdensdele",,"Area studies, other world regions",,,translated,raw_edu_field,medium,danish,,
EDU_field_654535,EDU,field,654535,Biomekanik,Biomekanik,,Biomekanik,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_354010,EDU,field,354010,Sociologi og kultursociologi mv.,Sociologi og kultursociologi mv.,,Sociology and cultural sociology etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_101010,EDU,field,101010,Grundskole 0.-6. klasse,Grundskole 0.-6. klasse,,Primary school 0.-6. grade,,,translated,raw_edu_field,medium,danish,,
EDU_field_355020,EDU,field,355020,Retorik,Retorik,,Rhetoric,,,translated,raw_edu_field,medium,danish,,
EDU_field_804010,EDU,field,804010,"Post, distribution mv.","Post, distribution mv.",,"Postal services, distribution etc.",,,translated,raw_edu_field,medium,danish,,
EDU_field_309520,EDU,field,309520,Designkultur og designstudier,Designkultur og designstudier,,Design culture and design studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_555045,EDU,field,555045,"Bådebyggeri, ikke-motordrevne","Bådebyggeri, ikke-motordrevne",,"Boatbuilding, non-motorized",,,translated,raw_edu_field,medium,danish,,
EDU_field_258420,EDU,field,258420,"Erhvervssprog, to sprog og virksomhedskommunikation","Erhvervssprog, to sprog og virksomhedskommunikation",,"Business languages, two languages and business communication",,,translated,raw_edu_field,medium,danish,,
EDU_field_354020,EDU,field,354020,Kriminologi,Kriminologi,,Criminology,,,translated,raw_edu_field,medium,danish,,
EDU_field_354520,EDU,field,354520,Miljøplanlægning og risikostyring,Miljøplanlægning og risikostyring,,Environmental planning and risk management,,,translated,raw_edu_field,medium,danish,,
EDU_field_309525,EDU,field,309525,Forfatteruddannelse,Forfatteruddannelse,,Forfatter programme,,,translated,raw_edu_field,medium,danish,,
EDU_field_572010,EDU,field,572010,Urmageri,Urmageri,,Urmageri,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_354510,EDU,field,354510,Teknologisk-samfundsvidenskabelig planlægning,Teknologisk-samfundsvidenskabelig planlægning,,Technological-societal planning,,,translated,raw_edu_field,medium,danish,,
EDU_field_353010,EDU,field,353010,Psykologi,Psykologi,,Psychology,,,translated,raw_edu_field,medium,danish,,
EDU_field_209025,EDU,field,209025,Samfundsvidenskabelige-pædagogiske uddannelser,Samfundsvidenskabelige-pædagogiske uddannelser,,Social-scientific and pedagogical educations,,,translated,raw_edu_field,medium,danish,,
EDU_field_255215,EDU,field,255215,Tysk,Tysk,,German,,,translated,raw_edu_field,medium,danish,,
EDU_field_302510,EDU,field,302510,Billedkunst,Billedkunst,,Fine art,,,translated,raw_edu_field,medium,danish,,
EDU_field_751535,EDU,field,751535,Toldvæsen,Toldvæsen,,Customs,,,translated,raw_edu_field,medium,danish,,
EDU_field_603015,EDU,field,603015,Skovbrugsvidenskab,Skovbrugsvidenskab,,Forestry science,,,translated,raw_edu_field,medium,danish,,
EDU_field_255615,EDU,field,255615,Russisk,Russisk,,Russian,,,translated,raw_edu_field,medium,danish,,
EDU_field_255640,EDU,field,255640,Nygræsk,Nygræsk,,Modern Greek,,,translated,raw_edu_field,medium,danish,,
EDU_field_256420,EDU,field,256420,Indiansk sprog og kultur,Indiansk sprog og kultur,,Indian language and culture,,,translated,raw_edu_field,medium,danish,,
EDU_field_602030,EDU,field,602030,Gartneriteknik,Gartneriteknik,,Horticultural technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_602035,EDU,field,602035,Gartnerividenskab,Gartnerividenskab,,Horticultural science,,,translated,raw_edu_field,medium,danish,,
EDU_field_555080,EDU,field,555080,"Skomager, skoindustri","Skomager, skoindustri",,"Shoemaking, footwear industry",,,translated,raw_edu_field,medium,danish,,
EDU_field_209020,EDU,field,209020,Naturvidenskabelige-pædagogiske uddannelser,Naturvidenskabelige-pædagogiske uddannelser,,Natural science and pedagogical educations,,,translated,raw_edu_field,medium,danish,,
EDU_field_256210,EDU,field,256210,Indisk,Indisk,,Indisk,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_255415,EDU,field,255415,Portugisisk,Portugisisk,,Portuguese,,,translated,raw_edu_field,medium,danish,,
EDU_field_257110,EDU,field,257110,Datalingvistik,Datalingvistik,,Datalingvistik,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_451515,EDU,field,451515,Miljøbiologi,Miljøbiologi,,Environmental biology,,,translated,raw_edu_field,medium,danish,,
EDU_field_256425,EDU,field,256425,Grønlandsk,Grønlandsk,,Greenlandic,,,translated,raw_edu_field,medium,danish,,
EDU_field_573025,EDU,field,573025,Støberiteknik,Støberiteknik,,Foundry Technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_456010,EDU,field,456010,Meteorologi,Meteorologi,,Meteorology,,,translated,raw_edu_field,medium,danish,,
EDU_field_454510,EDU,field,454510,Geodæsi og geoinformatik,Geodæsi og geoinformatik,,Geodesy and Geoinformatics,,,translated,raw_edu_field,medium,danish,,
EDU_field_255220,EDU,field,255220,Nederlandsk,Nederlandsk,,Dutch,,,translated,raw_edu_field,medium,danish,,
EDU_field_573030,EDU,field,573030,Pladebearbejdende metalindustri mv.,Pladebearbejdende metalindustri mv.,,Sheet Metal Industry etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_555087,EDU,field,555087,Konstruktion og projektering,Konstruktion og projektering,,Construction and Design,,,translated,raw_edu_field,medium,danish,,
EDU_field_257440,EDU,field,257440,"Tysk-spansk, erhvervssproglig","Tysk-spansk, erhvervssproglig",,Business German-Spanish,,,translated,raw_edu_field,medium,danish,,
EDU_field_304035,EDU,field,304035,Sang og sangskrivning,Sang og sangskrivning,,Singing and Songwriting,,,translated,raw_edu_field,medium,danish,,
EDU_field_304030,EDU,field,304030,Komponist og dirigent,Komponist og dirigent,,Composer and Conductor,,,translated,raw_edu_field,medium,danish,,
EDU_field_653530,EDU,field,653530,Bandagistuddannelser,Bandagistuddannelser,,Bandagist programmes,,,translated,raw_edu_field,medium,danish,,
EDU_field_256225,EDU,field,256225,Kinastudier,Kinastudier,,Chinese studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_308510,EDU,field,308510,Dans,Dans,,Dans,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_802510,EDU,field,802510,Luftfart,Luftfart,,Luftfart,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_256220,EDU,field,256220,Japanstudier,Japanstudier,,Japanese studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_256435,EDU,field,256435,"Indoeuropæiske sprog, slægtskab og lingvistik","Indoeuropæiske sprog, slægtskab og lingvistik",,"Indo-European Languages, Kinship and Linguistics",,,translated,raw_edu_field,medium,danish,,
EDU_field_256415,EDU,field,256415,Ungarsk,Ungarsk,,Hungarian,,,translated,raw_edu_field,medium,danish,,
EDU_field_257235,EDU,field,257235,"Russisk, erhvervssproglig","Russisk, erhvervssproglig",,Business Russian,,,translated,raw_edu_field,medium,danish,,
EDU_field_257230,EDU,field,257230,"Italiensk, erhvervssproglig","Italiensk, erhvervssproglig",,Business Italian,,,translated,raw_edu_field,medium,danish,,
EDU_field_303520,EDU,field,303520,Kunsthåndværk i øvrigt,Kunsthåndværk i øvrigt,,Miscellaneous Fine Arts,,,translated,raw_edu_field,medium,danish,,
EDU_field_256410,EDU,field,256410,Finsk,Finsk,,Finnish,,,translated,raw_edu_field,medium,danish,,
EDU_field_751015,EDU,field,751015,Forsvar generelt,Forsvar generelt,,"Defence, general",,,translated,raw_edu_field,medium,danish,,
EDU_field_458010,EDU,field,458010,Statistik,Statistik,,Statistics,,,translated,raw_edu_field,medium,danish,,
EDU_field_653525,EDU,field,653525,Ortopædi,Ortopædi,,Orthopedics,,,translated,raw_edu_field,medium,danish,,
EDU_field_257435,EDU,field,257435,"Engelsk-russisk, erhvervssproglig","Engelsk-russisk, erhvervssproglig",,Business English-Russian,,,translated,raw_edu_field,medium,danish,,
EDU_field_455515,EDU,field,455515,Geovidenskab,Geovidenskab,,Earth sciences,,,translated,raw_edu_field,medium,danish,,
EDU_field_254025,EDU,field,254025,Marinarkæologi,Marinarkæologi,,Marine Archaeology,,,translated,raw_edu_field,medium,danish,,
EDU_field_256215,EDU,field,256215,Indonesisk,Indonesisk,,Indonesisk,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_304025,EDU,field,304025,Tonespace,Tonespace,,Tonespace,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_573010,EDU,field,573010,Maskin- og produktionsanlægsteknik u.n.a.,Maskin- og produktionsanlægsteknik u.n.a.,,Machine and Production Facility Technology NEC,,,translated,raw_edu_field,medium,danish,,
EDU_field_352510,EDU,field,352510,Europæiske studier,Europæiske studier,,European Studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_252020,EDU,field,252020,Videnskabshistorie,Videnskabshistorie,,History of science,,,translated,raw_edu_field,medium,danish,,
EDU_field_256625,EDU,field,256625,Andre klassiske sprog,Andre klassiske sprog,,Other Classical Languages,,,translated,raw_edu_field,medium,danish,,
