SPEC6,SPEC6_TXT,SPEC4_TXT,SPEC3_TXT,SPEC6_FRA,SPEC6_TIL
447984,S-TSH-RECEPTOR-AB,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447985,S-V'KSTHORMON,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447986,S-FSH,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447987,S-PROLACTIN,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447988,F-FEDT I F'CES,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447989,S-OSTEOCALCIN,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447990,S-25-OH-D TOTAL,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447991,"S-1,25-D3",Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447992,U-BENC JONES PROT,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447993,S-IGF-BIND PROT 3,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447994,S-M-KOMP KL+TYPE,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447995,U-M-KOMP KL+TYPE,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447996,P-a-1-ANTITRYPSIN,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447997,S-a-1-ANTITRYPSIN,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447998,S-APO A1,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
447999,Gentest-CYP2D6,Ekspeditions gebyr,Ekspeditions gebyr,1/1/2006,12/31/2006
448000,S-APO B,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448001,U-ALBUMIN(MICRO),Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448002,P-COMPL. C3d,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448003,P-FIBRONECTIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448004,S-Lp(a),Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448005,P-C1-INA.FUNK. P,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448006,P-C1-INA.FUNK.P,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448007,S-MYOGLOBIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448008,U-MYOGLOBIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448009,S-ERYTHROPOIETIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448010,S-MAST-CLA,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448011,S-MYOKARD ANTIST,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448012,S-PARIETAL ANTIST,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448013,S-MITOC ANTIST,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448014,P-Anti-HIV,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448015,S-Anti-HCV,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448016,P/S-Anti-HCV,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448017,S-CIRK.IMMUNCOMP,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448018,S-CA 125,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448019,S-CA 125,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448020,S-LIPASE,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448021,F-AM?BECYSTER,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448022,S-SALICYLAT,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448023,S-FLECAINID,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448024,S-LAMOTRIGIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448025,S-FRIT T3,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448026,"S-T3,FRIT",Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448027,S-FRIT T4,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448028,S-TPA,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448029,S-TPS,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448030,S-CA 50,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448031,S-EOS.CAT.PROTEIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448032,Ascitesv'ske-AMYLASE,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448033,Dr'nsekret-AMYLASE,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448034,P-HOMOCYSTEIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448035,P-PTH INTAKT,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448037,Pt-IgG INDEX,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448038,S-Anti-THYR-PEROX,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448039,U-SCR-NARKO,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448041,Csv-LACTAT,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448043,U-PORPHOBILINOGEN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448044,S-DIGOXIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448045,P/S-NORTRIPTYLIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448046,S-LDL-CHOLESTEROL,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448047,AMITRIPTYLIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448048,S-a-1-F?TOPROTEIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448049,U-ETHANOL,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448050,CLOMIPRAMIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448052,F-a-1-ANTITRYPSIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448053,S-ETHANOL,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448054,GLIADIN-ANTISTOF,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448056,S-COMPL. C2,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448057,THYREOIDEA-CALCITONI,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448058,P/S-ERYTHROPOIETIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448059,B-ETHANOL,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448060,IgG/ALBUMIN; REL.MAS,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448061,S-MEXILETIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448062,P/S-THEOPHYLLIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448063,S-RETINOL B PROT,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448064,P/S-HOMOCYSTEIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448066,S-FERROXIDASE,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448067,S-COMPL. C3c,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448068,P/S-TBG,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448069,P/S-IMMUNGLOB.E,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448070,P/S-VALPROAT,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448071,S-COMPL. C4c,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448072,S-a-2-MACROGLOB.,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448073,S-COMPL. C1q,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448074,SUR PHOSPHATASE(TYPE,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448075,S(fPt)-PROINSULIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448076,S-MEXILETIN,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448077,S-PARIT.CEL.(IgG),Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448078,S-PHENEMAL,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448079,PRIMIDON + PHENOBARB,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448080,HISTAMIN (U-),Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448081,COELIAKI-ANTISTOF; E,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
448082,S-TRANSGLUTAM.,Hovedgruppe 8   KPLL,Hovedgruppe 8   KPLL,1/1/2006,12/31/2006
804502,Konsultation Kont,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804503,Frems. digit billed,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804504,diagn.hjælp psyk.dia,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804510,Fredericia-forsøg,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804511,Kons.addition a65,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804512,Skemaudf. add. a65,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804513,Tillæg tolkehonor.,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804514,G-gluk. add. a65,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804515,blodpr.m.cent.ad.a65,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804516,lg.kons.add. a65,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804517,Blodprøvetagn. amt50,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804520,Besøg hos ældre  A25,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804521,Afst.tillæg 0-4 Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804522,Afst.tillæg 4-8 Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804523,Afst.tillæg 8-12 Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804524,Afst.tillæg 12-16 Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804525,Afst.tillæg 16-20 Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804526,Afst.till. ov. 20 Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804527,Afstandstakst pr. Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804528,lg.kons.add. a65,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804530,Socialmed. samarb.,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804531,Afst.tillæg 0-4 Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804532,Afst.tillæg 4-8 Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804533,Afst.tillæg 8-12 Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804534,Afst.tillæg 12-16 Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804535,Afst.tillæg 16-20 Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804536,Afst.till. ov. 20 Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804537,Afstandstakst pr. Km,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804540,2 Amt20,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804541,Basisydelse  2A20,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804542,Priktest  2A20,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804543,Lungefunkt.  2A20,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804544,Blodprøve  2A20,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804545,MMSE-test(demens)A70,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804546,Demensundersøge. A20,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804547,Demensunder. Kbh Kom,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804548,MMSE-test Frb. Kom.,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804549,"Årskontrol,diab. a20",2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804550,Ud.møde  2 Amt 35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804551,Ud.møde telhen  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804552,møde 1 modul  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804553,møde 2 moduler  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804554,møde 3 moduler  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804555,møde >3moduler  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804556,tid 4 km  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804557,tid 4<x<8 km  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804558,tid 8<x<12 km  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804559,tid 12<x<16 km  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804560,tid 16<x<20 km  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804561,tid 20> km  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804562,tid pr 21 km  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804563,tid kørg. 76  2A35,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804570,Hjemmebesøg i Odder,2-aftaler,Forebygg. / sundhed,1/1/1990,12/31/2005
804600,Særlig kons. vagttid,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804601,Børneunders. Test,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804602,Børneunders..Kont,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804611,Blodpr.glucoseb.a.65,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804630,2-aftale ak. 50,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804636,Akutstueaftale A80,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804642,Særlig kons. vagttid,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804650,Konfer. Vejle,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804651,Konfer. Horsens,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804652,Konfer. Kolding,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804653,Konfer. Fredericia,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804654,Konfer. Give,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804655,Konfer. Brædstrup,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804656,Hjemmebesøg,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804657,Opfølg.samt. i kons.,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804658,Opfølg.samt. i hjem,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804659,udskrivningskonf.a60,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804660,Afst.tillæg 0-4 km,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804661,Afst.tillæg 4-8 km,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804662,Afst.tillæg 8-12 km,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804663,Afst.tillæg 12-16 km,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804664,Afst.tillæg 16-20 km,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804665,Afst.till. ov. 20 km,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804666,Afstandstakst pr. km,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804667,Med.van.jou./ 2-B020,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804668,Med.van.jou./ 2-afta,Særlig kons. vagttid,Forebygg. / sundhed,1/1/1990,12/31/2005
804700,Særydelser,Særydelser,Forebygg. / sundhed,1/1/1990,12/31/2005
804701,Tympanometri/Regist,Særydelser,Forebygg. / sundhed,1/1/1990,12/31/2005
804702,Registrering,Særydelser,Forebygg. / sundhed,1/1/1990,12/31/2005
804703,Præ.jour.sk.  2/A70,Særydelser,Forebygg. / sundhed,1/1/1990,12/31/2005
804704,Spg.skema amt70 proj,Særydelser,Forebygg. / sundhed,1/1/1990,12/31/2005
804705,ltype 7,Særydelser,Forebygg. / sundhed,1/1/1990,12/31/2005
804706,ltype 7,Særydelser,Forebygg. / sundhed,1/1/1990,12/31/2005
804707,ltype 7,Særydelser,Forebygg. / sundhed,1/1/1990,12/31/2005
804709,Alkoholsamt.  2/B080,Særydelser,Forebygg. / sundhed,1/1/1990,12/31/2005
804710,Mødedeltagelse   A65,Særydelser,Forebygg. / sundhed,1/1/1990,12/31/2005
804711,Klamydiaprojekt a.70,Særydelser,Forebygg. / sundhed,1/1/1990,12/31/2005
804760,Projekt Lildholt,Særydelser,Forebygg. / sundhed,1/1/1990,12/31/2005
804801,Zoneterapi,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804802,Kostvejledning,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804810,Konsul V/hjælpeper,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804820,Besøg hjælpepers I,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804821,Besøg hjælpepers II,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804822,Besøg hjælpepers III,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804823,Besøg hjælpepers IV,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804824,Besøg hjælpepers V,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804825,Besøg hjælpeper 21km,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804826,Besøg hjælpeper rute,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804830,Afst.takst hjælpeper,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804901,ltype 7,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804902,Ældreproj. Skanderb.,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804903,ukendt,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
804921,ukendt,Forebygg. / sundhed,Forebygg. / sundhed,1/1/1990,12/31/2005
805000,Attester og tandudt.,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805001,Sindslid. 1. Indlæg.,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805002,Sindslid. Genindlæg.,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805003,Sindslid. Tvangsindl,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805004,Nervesanatorier M.V.,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805005,Alkoholklinik,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805090,Kronikertilskud,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805091,Attestarb ifbm kons.,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805092,Attestarb uden kons.,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805093,Ansøgning - terminal,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805100,Tandudtrækninger,Tandudtrækninger,Attester og tandudt.,1/1/1990,12/31/2005
805101,Pr. tand,Tandudtrækninger,Attester og tandudt.,1/1/1990,12/31/2005
805270,ltype 7,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805280,ltype 7,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805991,Attest kronik.moms,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805992,Attest u.pt. m. moms,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
805993,Attest term.m.moms,Attester og tandudt.,Attester og tandudt.,1/1/1990,12/31/2005
806000,Samtaleterapi,Samtaleterapi,Samtaleterapi,1/1/1990,12/31/2005
806100,Samtaleterapi,Samtaleterapi,Samtaleterapi,1/1/1990,12/31/2005
806101,Samtaleterapi,Samtaleterapi,Samtaleterapi,1/1/1990,12/31/2005
806200,Tillæg pr. person,Tillæg pr. person,Samtaleterapi,1/1/1990,12/31/2005
806201,Tillæg pr. person,Tillæg pr. person,Samtaleterapi,1/1/1990,12/31/2005
806700,Tandudtrækninger,Tandudtrækninger,Samtaleterapi,1/1/1990,12/31/2005
806701,1. Tand,Tandudtrækninger,Samtaleterapi,1/1/1990,12/31/2005
806702,Anden Tand Samme Bes,Tandudtrækninger,Samtaleterapi,1/1/1990,12/31/2005
806703,Flg. Tand Samme Bes.,Tandudtrækninger,Samtaleterapi,1/1/1990,12/31/2005
806704,Maximum/måned   6704,Tandudtrækninger,Samtaleterapi,1/1/1990,12/31/2005
807000,Lab. Undersøgelser,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807100,Lab. Undersøgelser,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807101,Urin v. stix       1,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807102,I. Mikroskopi urin 3,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807103,II. Mikros. bakt ol3,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807104,III. Andet(mikros.)3,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807105,I. Bakterier(dyrk.)3,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807106,II. Svampe (dyrk.) 3,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807107,III. Andet (dyrk.) 3,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807108,B-hæmoglob.(fotom.)4,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807109,Svælg-strept.antig.4,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807110,Mononucleosefaktor 4,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807111,Spermaund. kontrol 5,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807112,Audiometriunders. 10,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807113,Lungef. v. spirom. 3,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807120,C-Reaktivt Protein,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807121,Lungefunk.under.,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807122,I. Mikro. af urin,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807123,II. Mikr. bakt. o.l.,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807124,III. Mikros. a.bio.,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807125,Differ.- og leu. tæl,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807126,PP-inr (koagu.fakt.),Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807136,B-glukose (fotom.) 4,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807150,Prothrombin        6,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807151,Urin F.Keton U/stix1,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807152,3 u.f. blod i fæces5,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807153,Urin F. Blod U/stix1,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807154,Blødningstid       1,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807155,Elkard. exc. præc. 6,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807156,Elkard. inkl. præc.9,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807157,Fasteventrikelsekr 2,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
807158,Galdefarvest.I Urin1,Lab. Undersøgelser,Lab. Undersøgelser,1/1/1990,12/31/2005
