Value set
D460022. TXT_DB93_TIMES - Industry for essential employment, from 1992 to 2007 (AKM) Valid from 	Valid for 	Code 	Text
01-01-1992 	31-12-1995 	513910 	Wholesale trade services in fish and fish products
01-01-1992 	31-12-1995 	513920 	Wholesale trade in bread, cakes and biscuits
01-01-1992 	31-12-1995 	513930 	Wholesale trade in health food products
01-01-1992 	31-12-1995 	513990 	Other specialised wholesale trade in food and enjoyment products
01-01-1992 		514100 	Wholesale trade in textiles
01-01-1992 		514210 	Wholesale trade in clothing
01-01-1992 		514220 	Wholesale trade in footwear
01-01-1992 		514310 	Wholesale trade in white goods
01-01-1992 	31-12-2002 	514320 	Wholesale trade services in radio and television
01-01-2003 		514320 	Wholesale trade services with radio and television, etc.
01-01-1992 	31-12-2002 	514330 	Wholesale trade with gramophone records as well as recorded and unrecorded video tapes, etc.
01-01-2003 		514330 	Wholesale with recorded and unrecorded video tapes, CDs, DVDs, etc.
01-01-1992 		514340 	Wholesale trade services of electrical household goods
01-01-1992 		514410 	Wholesale trade in porcelain and glassware
01-01-1992 		514420 	Wholesale trade services of cleaning products
01-01-2003 		514500 	Wholesale trade in perfumery and cosmetics
01-01-1992 	31-12-2002 	514500 	Wholesale of toiletries and perfumery products
01-01-1992 		514610 	Wholesale trade in pharmaceuticals and nursing goods
01-01-1992 		514620 	Wholesale of Medical and Hospital Supplies
01-01-1992 		514705 	Wholesale trade in furniture
01-01-1992 		514710 	Wholesale trade in carpets
01-01-1992 		514715 	Wholesale trade in gold and silver products
01-01-1992 		514720 	Wholesale trade with watches and optics
01-01-1992 		514725 	Wholesale trade in photographic articles
01-01-1992 		514730 	Wholesale trade services in bicycles and mopeds
01-01-1992 		514735 	Wholesale trade services in sports goods, camping equipment and yachts
01-01-1992 		514740 	Wholesale trade in toys and games
01-01-1992 		514745 	Wholesale trade in books, paper and paper products
01-01-1992 		514750 	Wholesale trade services of suitcases, leather goods and handicrafts
01-01-1992 		514790 	Wholesale trade services with other household items
01-01-1992 		515100 	Wholesale trade services in motor fuel, fuel, lubricating oil, etc.
01-01-1992 		515200 	Wholesale trade services of unprocessed metals and metal ores
01-01-1992 		515310 	Wholesale trade services of wood, wood loads and building materials
01-01-1992 	31-12-2002 	515320 	Wholesale trade in varnish, paint and wallpaper
01-01-2003 		515320 	Wholesale trade in varnish, paint, wallpaper, paint brushes, etc.
01-01-1992 		515400 	Wholesale trade services with hardware and heating systems and accessories
01-01-1992 		515500 	Wholesale trade in chemical products
01-01-1992 		515610 	Wholesale trade in packaging articles
01-01-1992 		515690 	Wholesale trade services with other raw materials and semi-finished products
01-01-1992 		515700 	Wholesale trade services in waste products
01-01-1996 	31-12-2002 	516100 	Wholesale of machine tools and accessories for working metal and wood
01-01-1992 	31-12-1995 	516100 	Wholesale of machine tools, tools and accessories for working metal and wood
01-01-1992 	31-12-2002 	516200 	Wholesale trade services of machinery, equipment and accessories for construction
01-01-1992 	31-12-2002 	516300 	Wholesale trade services of machinery, equipment and accessories for the textile industry
01-01-1992 	31-12-2002 	516410 	Wholesale of office machinery, computer machines and equipment
01-01-1992 	31-12-2002 	516420 	Wholesale of office furniture and office supplies
01-01-1992 	31-12-2002 	516510 	Wholesale trade services of electrical installation equipment
01-01-1992 	31-12-2002 	516520 	Wholesale trading of electronic components
01-01-1992 	31-12-2002 	516590 	Wholesale trade services with other machinery, equipment and accessories
01-01-1992 	31-12-2002 	516600 	Wholesale of agricultural machinery and equipment and accessories, including tractors
01-01-1992 	31-12-2002 	517000 	Other wholesale trade
01-01-2002 		518100 	Wholesale of machine tools and accessories for working metal and wood
01-01-2002 		518200 	Wholesale trade services of machinery, equipment and accessories for construction
01-01-2002 		518300 	Wholesale trade services of machinery, equipment and accessories for the textile industry
01-01-2002 		518410 	Wholesale trade services with computers and IT equipment
01-01-2002 		518420 	Wholesale trade services in telecommunications equipment
01-01-2002 		518500 	Wholesale of office machinery and office equipment
01-01-2002 		518600 	Wholesale trading of electronic components
01-01-2002 		518710 	Wholesale trade services of electrical installation equipment
01-01-2002 		518790 	Wholesale trade services with other machinery, equipment and accessories
01-01-2002 		518800 	Wholesale of agricultural machinery and equipment and accessories, including tractors
01-01-2002 		519000 	Other wholesale trade
01-01-1992 		521110 	Colonial trade
01-01-1992 		521120 	Circadian kiosks
01-01-1992 		521130 	Supermarkets
01-01-2002 		521140 	Discount stores
01-01-1992 		521210 	Department Stores
01-01-1992 		521220 	Department magazines
01-01-1992 		522100 	Fruit and vegetable shops
01-01-1992 		522200 	Butcher and victualling shops
01-01-1992 		522300 	Fish and game shops
01-01-1992 	31-12-1995 	522400 	Bread outlet sale
01-01-1992 		522410 	Bread outlet sale
01-01-1992 		522420 	Chocolate and confectionery stores
01-01-1992 		522500 	Wine shops
01-01-1992 	31-12-2002 	522600 	Tobacco and wine shops
01-01-2003 		522600 	Tobacco stores
01-01-1992 		522710 	Cheese shops
01-01-1992 	31-12-1995 	522720 	Chocolate and confectionery stores
01-01-1992 		522730 	Health food stores
01-01-2003 		522790 	Retail trade in food, drink and tobacco products from specialty shops in general
01-01-1992 	31-12-2002 	522790 	Retail trade in nutrient and beverages from specialty shops, incidentally
01-01-1992 		523100 	Pharmacies
01-01-1992 		523200 	Retail trade in medical and orthopaedic articles
01-01-1992 		523310 	Perfumeries
01-01-1992 		523320 	Materialists
01-01-1992 		524100 	Retail trades in dress fabrics, yarns, embroideries, etc.
01-01-1992 		524210 	Women's Clothing Stores
01-01-1992 		524220 	Men's Clothing Stores
01-01-1992 		524230 	Men's and women's clothing stores (mixed)
01-01-1992 		524240 	Baby equipment and children's clothing stores
01-01-1992 		524310 	Shoewear stores
01-01-1992 		524320 	Leather goods stores
01-01-1992 		524410 	Furniture stores
01-01-1992 	31-12-2002 	524420 	Carpet stores
01-01-1992 		524430 	Home Textile stores
01-01-2003 		524440 	Retail trade in kitchen equipment, glass, porcelain, cutlery, vases, candlesticks, etc.
01-01-1992 	31-12-2002 	524440 	Retail trade exclusively with kitchenware, glass and porcelain
01-01-1992 		524450 	Retail trade services of lighting
01-01-1996 		524510 	Retail trade services of electrical household appliances and appliances
01-01-1992 	31-12-1995 	524510 	Retail trade services of household appliances and appliances
01-01-1992 		524520 	Broadcasting and radio stores
01-01-1992 		524530 	Record stores
01-01-1992 		524540 	Dealers of musical instruments
01-01-1992 		524610 	Hardware stores
01-01-1992 		524620 	Construction markets
01-01-1992 		524630 	Color and wallpaper stores
01-01-1992 		524700 	Book and paper dealers
01-01-2002 		524801 	Carpet stores
01-01-1992 		524805 	Watchmaking stores
01-01-1992 		524810 	Watchmaking and goldsmith shops
01-01-1992 		524815 	Goldsmiths and Jewellery stores
01-01-2003 		524820 	Optometries
01-01-1992 	31-12-2002 	524820 	Specialized opticians
01-01-1992 		524825 	Photo stores
01-01-1992 		524830 	Dealers of gift items and handicrafts (gift stalls)
01-01-1992 		524835 	Art trade and gallery
01-01-1992 		524840 	Stamp and mint shops
01-01-1992 		524845 	Sports shops
01-01-1996 		524850 	Retail trade in toys and games
01-01-1992 	31-12-1995 	524850 	Toy shops
01-01-1992 		524855 	Dealers of yachts and equipment for this
01-01-1992 		524860 	Bicycle and moped shops
01-01-1992 	31-12-1995 	524865 	Retail trade services of PCs, office machinery and software
01-01-1996 	31-12-2002 	524865 	Retail trade services of PCs, office machines and standard software
01-01-2002 		524866 	Retail trade services of computers and standard software
01-01-2002 		524867 	Retail trade services of office machinery
01-01-1992 		524870 	Retail trade services of telecommunications equipment
01-01-1992 		524875 	Flower shops
01-01-1992 		524880 	Plant dealers and garden centres
01-01-1992 		524885 	Animal trade
01-01-1992 		524890 	Dealers of heating oil and solid household fuel
01-01-1992 		524895 	Porn stores
01-01-1992 		524899 	Retail trade in other goods
01-01-1992 		525010 	Bogantikvariates
01-01-1992 		525020 	Antique shops
01-01-1992 		525090 	Other distributors of used goods
01-01-1992 		526100 	Retail from mail order transactions
01-01-1992 		526210 	Fruit and vegetable stalls
01-01-1992 		526290 	Other retail trade from stalls and markets
01-01-1992 		526300 	Other retail outlet other than retail
01-01-1992 		527100 	Repair of shoes or other leather goods
01-01-1992 		527210 	Repair of electrical household appliances and appliances
01-01-1992 		527220 	Radio and TV repair shops
01-01-1992 		527300 	Repair of watches
01-01-1992 		527410 	Bicycle Repair Workshops
01-01-1992 		527420 	Locksmiths
01-01-1992 		527490 	Other repair services of goods for personal or household use
01-01-2002 		551010 	Hotels
01-01-2002 		551020 	Conference Centres and Course Properties
01-01-1992 	31-12-2002 	551110 	Hotels with Restaurant
01-01-1992 	31-12-2002 	551120 	Conference Centres and Course Properties
01-01-1992 	31-12-2002 	551200 	Hotels without restaurant
01-01-1992 		552100 	Hostels
01-01-1992 		552200 	Camping
01-01-1992 		552310 	Holiday centres
01-01-1992 		552390 	Other facilities for short-term stays
01-01-1992 		553010 	Restaurants
01-01-1992 		553020 	Cafeteria, hotdog stand, barbecue bars, ice cream parlours, etc.
01-01-1992 		553090 	Banquet rooms, village halls, etc.
01-01-1992 		554010 	Taverns, bodegas, etc.
01-01-1992 		554020 	Discotheques and nightclubs
01-01-2003 		554090 	Cafes and coffee shops, etc.
01-01-1992 	31-12-2002 	554090 	Coffee bars, etc.
01-01-1992 		555100 	Canteens
01-01-1992 		555200 	Catering and diner transportable
01-01-1992 		601000 	Railways
01-01-1992 	31-12-2002 	602100 	Bus and S-train traffic, etc., scheduled services
01-01-2002 		602110 	Bus traffic
01-01-2002 		602120 	S-train traffic, metro and other track-based traffic
01-01-1992 		602200 	Taxi driving
01-01-1996 		602300 	Second land passenger transport
01-01-1992 	31-12-1995 	602300 	Second passenger transport, non-rigo bypass
01-01-1992 		602410 	Haulage company
01-01-1992 		602420 	Moving shops
01-01-1992 		603000 	Pipe transport
01-01-1992 		611010 	Shipping company, freight
01-01-1992 		611020 	Shipping company, ferry and passenger services
01-01-1992 	31-12-1995 	611100 	Shipping company, ocean shipping
01-01-1992 	31-12-1995 	611210 	Ferry and passenger services
01-01-1992 	31-12-1995 	611220 	Coastal speed with goods
01-01-1992 		612000 	Inland waterway transport
01-01-1992 		621000 	Route flight
01-01-1992 		622010 	Charter flights with passengers
01-01-1992 		622020 	Charter flight with goods
01-01-1992 		622030 	Taxi flights, etc.
01-01-1992 		623000 	Space travel
01-01-1992 		631100 	Goods treatment
01-01-1992 		631200 	Storage and warehouse services
01-01-1992 	31-12-2002 	632110 	Stations and freight terminals
01-01-2003 		632110 	Stations, freight terminals, etc.
01-01-1992 		632120 	Parking and garages
01-01-1992 		632130 	Operation of toll roads, bridges and tunnels
01-01-1992 		632210 	Commercial ports (transport and fishing ports)
01-01-1992 	31-12-2002 	632220 	Marinas
01-01-1992 		632230 	Fireworks and Cargo Series
01-01-1992 		632240 	Trailing, salvage and rescue
01-01-1992 		632300 	Airports, etc.
01-01-1992 		633010 	Tourist offices
01-01-1992 		633020 	Travel agencies, tour-ranging
01-01-2003 		633030 	Travel agencies, ticketing
01-01-1992 	31-12-2002 	633030 	Travel agencies, ticketing
01-01-1992 		633040 	Tourist Guide Company
01-01-1992 		634010 	Shipbrokership
01-01-1992 		634020 	Freight forwarding
01-01-1992 		634030 	Welders and Meters
01-01-1992 		634090 	Other services related to transport
01-01-1992 		641100 	Postal Service
01-01-1992 		641200 	Courier service and application of daily newspapers
01-01-1992 	31-12-2002 	642000 	Telecommunications
01-01-2002 		642010 	Providers of fixed telecommunications
01-01-2002 		642020 	Providers of wireless communications
01-01-2002 		642030 	Providers of internet access
01-01-2002 		642040 	Other telecommunications
01-01-1992 		61100 	Danmarks Nationalbank
01-01-1992 		611200 	Banks, savings banks and cooperative banks
01-01-1992 		652100 	Financial leasing
01-01-1992 	31-12-1995 	652210 	Mortgage banks, etc.
01-01-1992 	31-12-1995 	652220 	Financing Funds
01-01-1992 		652230 	Mortgage credit institutions
01-01-1992 		652240 	Other credit institutions
01-01-1992 		652250 	Credit reference of non-credit institutions other
01-01-1992 		652260 	Financing companies
01-01-2002 		652270 	CMO companies
01-01-1992 	31-12-1995 	652290 	Other credit provision
01-01-1992 		652295 	Other lending activities
01-01-1992 		652310 	Investment funds
01-01-2002 		652315 	Innovation Associations
01-01-1992 		652320 	Investment firms
01-01-2002 		652325 	Venture companies
01-01-1992 		652330 	Stockbroking companies
01-01-1992 		652340 	Financial holding companies
01-01-1992 	31-12-1995 	652390 	Financing activities, moreover,
01-01-1992 		652395 	Financing activities, moreover,
01-01-1992 		660100 	Life insurance
01-01-1992 		660210 	Pension funds
01-01-1992 		660290 	Other pension insurance
01-01-1992 		660310 	Non-life insurance business
01-01-1992 		660320 	Health insurance
01-01-1992 		660390 	Other insurance business, moreover
01-01-1992 		671100 	The stock exchange, etc.
01-01-1992 		671200 	Stockbrokers
01-01-1992 		671300 	Other services activities related to financial institutions and financing activities
01-01-1992 		672010 	Insurance agencies
01-01-1992 		672090 	Other services related to insurance
01-01-1992 		7101100 	Subdivision of real estate
01-01-1992 		71200 	Purchase and sale of real estate at your own expense
01-01-1992 		702010 	Non-profit housing companies
01-01-1992 		702020 	Private cooperative housing associations
01-01-1992 		702030 	Other rental of homes
01-01-1992 		702040 	Rental of commercial properties
01-01-1992 		703110 	Real estate agents
01-01-1992 		703120 	Housing instructions
01-01-1992 		703130 	Holiday home rental
01-01-1992 		703210 	Administration of real estate on a contract basis
01-01-1992 		703220 	Ownership associations
01-01-1992 		711000 	Car rental
01-01-1992 		712110 	Rental of containers
01-01-1992 		712190 	Rental of lorries and other equipment for land transport
01-01-1992 		712200 	Rental of ships
01-01-1992 		712300 	Rental of aircraft
01-01-1992 		713100 	Rental of agricultural machinery and equipment
01-01-1992 		713200 	Rental of construction equipment
01-01-2003 		713310 	Rental of computers and IT equipment
01-01-1992 	31-12-2002 	713310 	Rental of computer machines and computer equipment
01-01-1992 		713320 	Rental of office machinery
01-01-1992 		713400 	Rental of machinery and equipment
01-01-1992 	31-12-2002 	714010 	Linkecing for video tapes
01-01-2003 		714010 	Linkecing and DVD rental
01-01-1992 		714090 	Rental of goods for personal use and for use in households
01-01-1992 		721000 	Consultancy on hardware
01-01-1992 	31-12-1995 	722000 	Provision of software and consultancy services
01-01-1996 	31-12-2002 	722000 	Development and consultancy services related to software
01-01-2002 		722100 	Development of standard software
01-01-2002 		722200 	Development of customer-specific software and consultancy services in connection with software
01-01-1992 		723000 	Data processing
01-01-1992 		724000 	Database hosts and intermediaries
01-01-1992 	31-12-2002 	725000 	Repair and maintenance services of office machinery and computer equipment
01-01-2003 		725000 	Repair and maintenance of office machines and IT equipment
01-01-1992 	31-12-2002 	726000 	Other activities related to data processing
01-01-2003 		726000 	Other activities in connection with IT services
01-01-1992 		731000 	Research and development in the field of natural sciences and engineering
01-01-1992 		732000 	Research and development in social sciences and humanities
01-01-1992 		741100 	Law firm
01-01-1992 		741200 	Audit and accounting services
01-01-1992 		741300 	Poll and Market Analysis
01-01-1992 		741410 	Agricultural consultants
01-01-1992 		741490 	Other business advice
01-01-1992 		741500 	Non-financial holding companies
01-01-1992 		742010 	Consulting engineering activities within construction and civil engineering
01-01-1992 		742020 	Consulting engineering in the field of manufacturing and mechanical engineering
01-01-1992 		742030 	Installation and delivery of finished plant
01-01-1992 		742040 	Architectural activities
01-01-1992 		742050 	Garden and landscape architects
01-01-1992 		742060 	Geological studies and prospecting
01-01-1992 		742070 	Land inspectors, etc.
01-01-1992 		742080 	Patent agencies
01-01-1992 		742090 	Other technical advice
01-01-1992 		743010 	Controls of foodstuffs
01-01-1992 		743020 	Technical testing and control
01-01-1992 		743030 	Environmental engineering measurements and analyses
01-01-1992 		743090 	Second measurement and technical analysis
01-01-1992 		744010 	Advertising agency business
01-01-1992 		744090 	Other advertising and advertising services
01-01-1992 		745010 	Employment mediation
01-01-1992 		745020 	Temporary employment agencies
01-01-1992 		745030 	Advice and participation in staff selection
01-01-1992 	31-12-2002 	746000 	Detective and surveillance activities
01-01-2003 		746000 	Watch and surveillance activities
01-01-1992 		747010 	Ordinary cleaning
01-01-1992 		747020 	Specialized cleaning
01-01-1992 		747030 	Window Cleaning
01-01-1992 		747040 	Chimney sweeping
01-01-1992 		747050 	Disinfection and pest control
01-01-1992 		748110 	Photographers
01-01-1992 		748120 	Photo Laboratories
01-01-1992 		748200 	Packings, etc.
01-01-1992 	31-12-2002 	748310 	Addressing agencies
01-01-1992 	31-12-2002 	748320 	Interpretation and translation
01-01-1992 	31-12-2002 	748390 	Other office service
01-01-1992 	31-12-2002 	748410 	Interior Designers
01-01-1992 	31-12-2002 	748420 	Design and industrial design
01-01-1992 	31-12-2002 	748430 	Credit rating and creditworthiness disclosure
01-01-1992 	31-12-2002 	748440 	Congress, exhibition and exhibition activities
01-01-1996 	31-12-2002 	748490 	Other business services n.e.c.
01-01-1992 	31-12-1995 	748490 	Music agencies and other business services n.e.c.
01-01-2002 		748510 	Addressing agencies
01-01-2002 		748520 	Interpretation and translation
01-01-2002 		748590 	Other office service
01-01-2002 		748600 	Call Centres Company
01-01-2002 		748710 	Interior Designers
01-01-2002 		748720 	Design and industrial design
01-01-2002 		748730 	Credit rating and creditworthiness disclosure
01-01-2002 		748740 	Congress, exhibition and exhibition activities
01-01-2002 		748790 	Other business services n.e.c.
01-01-1992 		751100 	General public services
01-01-1992 		751200 	Public administration of health care, education and social conditions
01-01-1992 		751300 	Public administration concerning business, infrastructure, etc.
01-01-1992 		751400 	Public services for the assistance and control of the public sector
01-01-1992 		752100 	Foreign Affairs
01-01-2003 		752200 	Defense
01-01-1992 	31-12-2002 	752200 	Defence and civil defense
01-01-1992 		752310 	Courts
01-01-1992 		752320 	Prison Service
01-01-1992 		752400 	Police
01-01-1992 		752500 	Fire Department and Rescue Corps
01-01-1992 		753000 	Social insurance
01-01-1992 		801010 	Primary school and the like
01-01-1992 		801020 	Special Schools for Disabled People
01-01-1992 		801030 	Youth and After Schools
01-01-1992 		802100 	High schools, student and HF courses
01-01-1992 	31-12-2002 	802210 	Schools with pedagogical education
01-01-1992 		802220 	Schools with trade and office education
01-01-1992 		802230 	Schools with industrial and artisanal training
01-01-1992 		802240 	Schools with agricultural and food education
01-01-1992 		802250 	Schools with transport education
01-01-1992 	31-12-1995 	802260 	Schools with health and care education
01-01-1996 		802260 	Schools with health and care education
01-01-1992 	31-12-2002 	802270 	Police and Defense Schools
01-01-1992 		803010 	Universities
01-01-1992 	31-12-2002 	803020 	Educational institutions with pedagogical education
01-01-2003 		803020 	Teacher seminars
01-01-2002 		803025 	Pedagogse seminaries
01-01-1992 		803030 	Educational institutions with humanistic and artistic education
01-01-1992 		803040 	Educational institutions with social science education
01-01-1992 		803050 	Educational institutions with technical training
01-01-1992 		803060 	Educational institutions with agricultural science education
01-01-1992 		803070 	Educational institutions with health education
01-01-1992 		803080 	Officer Schools
01-01-2002 		803085 	Police and Defense Schools
01-01-1992 	31-12-1995 	804100 	Driving Schools
01-01-1996 		804100 	Driving Schools, etc.
01-01-1992 		804210 	Schools with vocational adult education
01-01-1992 		804220 	Folk High Schools
01-01-1992 		804230 	Other schools with general education adult education
01-01-1992 		804290 	Teaching, by the way
01-01-1992 		851100 	Hospitals
01-01-1992 		851210 	General GPs
01-01-1992 		851220 	Practising specialists and outpatient clinics
01-01-1992 		851310 	Practising Dentists
01-01-1996 		851320 	Practicing clinical dental technicians
01-01-1992 	31-12-1995 	851320 	Practicing dental technicians
01-01-1992 		851410 	Home health care and health care
01-01-1992 		851420 	Midwives and midwife centres
01-01-1992 		851430 	Physiotherapeutic clinics and practicing physiotherapists
01-01-1992 		851440 	Psychological Counselling
01-01-1992 		851450 	Medical laboratories
01-01-1992 	31-12-2002 	851460 	The Occupational Health Service
01-01-1992 		851470 	Chiropractors
01-01-1992 		851480 	Foot caregivers
01-01-2003 		851490 	Other health care system
01-01-1992 	31-12-2002 	851490 	Cure institutions, naturalists, etc.
01-01-1992 		852000 	Veterinarians
01-01-1992 		853110 	Day-care centres for children and young people
01-01-1992 		853120 	Family care
01-01-1992 		853130 	Institutions for drug addicts and alcohol-injured
01-01-1992 		853140 	Day-care centres for adults with disabilities
01-01-1992 		853150 	Nursing Homes and Protected Homes
01-01-1992 		853160 	Incarceration's home, etc.
01-01-1992 		853190 	Other social measures covering institutional stays
01-01-1992 		853205 	Daycare mothers
01-01-1992 		853210 	Nuthouses
01-01-1992 		853215 	Kindergartens
01-01-1992 		853220 	Leisure homes, etc.
01-01-1992 		853225 	Age-integrated institutions
01-01-1992 		853230 	Leisure clubs for young people
01-01-1992 		853235 	Home Help
01-01-1992 		853240 	Day centers for the elderly, etc.
01-01-1992 		853245 	Rehabilitation institutions
01-01-2003 		853250 	Refugee and asylum centres
01-01-1992 	31-12-2002 	853250 	Refugee centres
01-01-1992 		853255 	Associations with disease-fighting and social purposes
01-01-1992 		853260 	Grants and foundations with charitable purposes
01-01-1992 		853290 	Other social measures without institutional stays
01-01-1992 	31-12-2002 	900010 	Sewerage and sewage treatment plants
01-01-1992 	31-12-2002 	900020 	Renovation and cleanliness
01-01-1992 	31-12-2002 	900030 	Landfills and incinerated facilities
01-01-2002 		900100 	Collection and treatment of waste water
01-01-2002 		900210 	Collection of waste
01-01-2002 		900220 	Operation of waste treatment plants
01-01-2002 		900310 	Renovation, snow removal, etc.
01-01-2002 		900320 	Cleansing of soil and groundwater
01-01-1992 		911100 	Employer and business organisations
01-01-1992 		911200 	Professional, Statutory Associations
01-01-1992 		912000 	Trade Unions
01-01-1992 		913100 	Religious institutions and associations
01-01-1992 	31-12-1995 	913110 	The Church
01-01-1992 	31-12-1995 	913120 	Other faith communities
01-01-1992 		913200 	Political parties
01-01-1992 		913310 	Tenents' Associations
01-01-1992 		913320 	Open-air organisations
01-01-1992 		913330 	Other political and ideological organizations
01-01-1992 		913340 	Other informational and cultural associations and institutions
01-01-1992 		913390 	Sociable associations, lodges, etc.
01-01-1992 		921100 	Film and video production
01-01-1992 		91200 	Film and video dissemination
01-01-1992 		921300 	Cinemas
01-01-1992 	31-12-2002 	922000 	Radio and television establishment
01-01-2002 		922010 	TV company
01-01-2002 		922020 	Radio company
01-01-1992 		923110 	Theatre and concert activities
01-01-1992 		923120 	Independent performers
01-01-1992 	31-12-2002 	923200 	Operation of theatre and concert halls
01-01-2003 		923200 	Operation of theatre and concert halls, cultural houses, etc.
01-01-1992 		923300 	Amusement parks
01-01-1992 		923400 	Other amusement activities, moreover
01-01-1992 		924000 	Press agencies
01-01-1992 		925110 	Public Libraries
01-01-1992 		925120 	Research and university libraries
01-01-1992 		925130 	Archives
01-01-1992 		925200 	Museums
01-01-1992 		925300 	Botanical and Zoological Gardens
01-01-1992 		926110 	Sports and swimming pools
01-01-1992 		926190 	Other sports facilities
01-01-1992 		926210 	Sports Clubs
01-01-2002 		926220 	Marinas
01-01-1992 		926290 	Other activities related to sports in general
01-01-1992 		927100 	Lottery and other gambling activities
01-01-1992 		927200 	Other activities related to leisure time, moreover
01-01-1992 		930110 	Business and Institution Laundries
01-01-1992 		930120 	Self-service laundries, etc.
01-01-1992 		930130 	Cleansers
01-01-1992 		930210 	Hairdressing salons
01-01-1992 		930220 	Beauty and skin care
01-01-1992 		930310 	Funeral men
01-01-1992 		930320 	Burial Service
01-01-1992 	31-12-2002 	930400 	Sun and gyms, etc.
01-01-2003 		930400 	Sun, exercise and health centers, etc.
01-01-1992 		930500 	Other service activities, moreover,
01-01-1992 		950000 	Private households with staff assistance
01-01-1992 		980000 	Unenlightened
01-01-1992 		990000 	International organizations, etc.
01-01-1992 		999999 	Not stated

    Personal income
    NACE

Share the page content






   
    
   
   
    


       
     


