description_da,n_rows,sample_value,specialty_code,specialty_name_en,spec4_txt,spec3_txt,plo_fuller,current_bad_en
"Københavns Praktiserende Lægers Laboratorium, Calcium;P",1,440170,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Calcium;P"
"Københavns Praktiserende Lægers Laboratorium, Campylobact.Ab;P",1,443045,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Campylobacter Ab;P"
"Københavns Praktiserende Lægers Laboratorium, Cancer Ag 125;P",1,443007,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Cancer Ag 125;P"
"Københavns Praktiserende Lægers Laboratorium, Cancerantig.15-3",1,443066,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Cancer Antigen 15-3"
"Københavns Praktiserende Lægers Laboratorium, Candida al IgE;P",1,445114,44,Copenhagen GP Laboratory (KPLL),GrÅ el IgE;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Candida Albicans IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Cannabioler;U",1,440540,44,Copenhagen GP Laboratory (KPLL),Faderskabssag,KPLL,,"Copenhagen Practicing Doctors Laboratory, Cannabis test;U"
"Københavns Praktiserende Lægers Laboratorium, Carbamazepin;P",1,440304,44,Copenhagen GP Laboratory (KPLL),APTT;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Carbamazepine;P"
"Københavns Praktiserende Lægers Laboratorium, Carbamid;P",1,440173,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Urea;P"
"Københavns Praktiserende Lægers Laboratorium, Carbonmonoxid Hb",1,440164,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Carbon Monoxide Hemoglobin"
"Københavns Praktiserende Lægers Laboratorium, Cardiolipin Ab",1,443002,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Cardiolipin Ab"
"Københavns Praktiserende Lægers Laboratorium, Chaetom.g. IgE;P",1,445531,44,Copenhagen GP Laboratory (KPLL),"Havre,inh.IgE;P",Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Chaetomium IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Chilipeber IgE;P",1,445345,44,Copenhagen GP Laboratory (KPLL),Bigift IgG;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Chili Pepper IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Chlamy.Pn Ab",1,443072,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Chlamydia Pneumonia antibody"
"Københavns Praktiserende Lægers Laboratorium, Chlorid;P",1,440179,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Chloride;P"
"Københavns Praktiserende Lægers Laboratorium, Cholesterol;P",1,440181,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Cholesterol;P"
"Københavns Praktiserende Lægers Laboratorium, Cholinesterera;P",1,440184,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Cholinesterase;P"
"Københavns Praktiserende Lægers Laboratorium, Chromogranin A;P",1,443503,44,Copenhagen GP Laboratory (KPLL),HCV RNA ( 0 1);P,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Chromogranin A;P"
"Københavns Praktiserende Lægers Laboratorium, Citalopram;P",1,443025,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Citalopram;P"
"Københavns Praktiserende Lægers Laboratorium, Citron IgE;P",1,445120,44,Copenhagen GP Laboratory (KPLL),GrÅ el IgE;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Lemon IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Cladosp.Cl.IgE;P",1,445541,44,Copenhagen GP Laboratory (KPLL),"Havre,inh.IgE;P",Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Cladosporium Cladosporioides IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Cladosp.h. IgE;P",1,445030,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 5   KPLL,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Cladosporium sp. IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Clomipramin;P",1,440187,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Clomipramine;P"
"Københavns Praktiserende Lægers Laboratorium, Clonazepam;P",1,440188,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Clonazepam;P"
"Københavns Praktiserende Lægers Laboratorium, Clozapin;P",1,440192,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Clozapine;P"
"Københavns Praktiserende Lægers Laboratorium, Cobalamin;P",1,440190,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Cobalamin;P"
"Københavns Praktiserende Lægers Laboratorium, Complem. C1q;P",1,440189,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Complement C1q;P"
"Københavns Praktiserende Lægers Laboratorium, Complement C3;P",1,440193,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Complement C3;P"
"Københavns Praktiserende Lægers Laboratorium, Complement C4;P",1,440194,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Complement C4;P"
"Københavns Praktiserende Lægers Laboratorium, Coombs' test",1,440196,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Coombs Test"
"Københavns Praktiserende Lægers Laboratorium, Cortisol (tot);P",1,440197,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Cortisol (total);P"
"Københavns Praktiserende Lægers Laboratorium, Cortisol 0 ACTH",1,440870,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Cortisol 0 ACTH"
"Københavns Praktiserende Lægers Laboratorium, Cortisol 30 ACTH",1,440871,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Cortisol 30 ACTH"
"Københavns Praktiserende Lægers Laboratorium, Cortisol;dU",1,440541,44,Copenhagen GP Laboratory (KPLL),Faderskabssag,KPLL,,"Copenhagen Practicing Doctors Laboratory, Cortisol;dU"
"Københavns Praktiserende Lægers Laboratorium, Creatinin;P",1,440199,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Creatinine;P"
"Københavns Praktiserende Lægers Laboratorium, Creatinin;U",1,440543,44,Copenhagen GP Laboratory (KPLL),Faderskabssag,KPLL,,"Copenhagen Practicing Doctors Laboratory, Creatinine;U"
"Københavns Praktiserende Lægers Laboratorium, Creatinkinase;P",1,440200,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Creatine kinase;P"
"Københavns Praktiserende Lægers Laboratorium, Cryoglobuliner",1,440203,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Cryoglobulin"
"Københavns Praktiserende Lægers Laboratorium, Cylindre,ery.;U",1,440547,44,Copenhagen GP Laboratory (KPLL),Faderskabssag,KPLL,,"Copenhagen Practicing Doctors Laboratory, Urine Erythrocyte Cylinders"
"Københavns Praktiserende Lægers Laboratorium, Cylindre,korn.;U",1,440545,44,Copenhagen GP Laboratory (KPLL),Faderskabssag,KPLL,,"Copenhagen Practicing Doctors Laboratory, Cylinders, corn.;U"
"Københavns Praktiserende Lægers Laboratorium, Cys.Fibrose(DNA)",1,440201,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Cystic Fibrosis DNA"
"Københavns Praktiserende Lægers Laboratorium, D-Dimer;P",1,443019,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, D-Dimer;P"
"Københavns Praktiserende Lægers Laboratorium, D.microcer IgE;P",1,445260,44,Copenhagen GP Laboratory (KPLL),Isocya TDI IgE;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, D.microcer IgE;P"
"Københavns Praktiserende Lægers Laboratorium, DNA Ab;P",1,440130,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, DNA Antibody;P"
"Københavns Praktiserende Lægers Laboratorium, DNAkoag2,n.20210",1,443069,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, DNA Coagulation Test, n.20210"
"Københavns Praktiserende Lægers Laboratorium, Deng.virus Ab;P",1,443029,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Dengue Virus Antibodies;P"
"Københavns Praktiserende Lægers Laboratorium, Dift.toxin Ab;P",1,440213,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Diphtheria Toxin Antibody;P"
"Københavns Praktiserende Lægers Laboratorium, Digoxin;P",1,440214,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Digoxin;P"
"Københavns Praktiserende Lægers Laboratorium, Dist.tryk.oextr.",1,440919,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Diastolic Blood Pressure and Extracellular Volume"
"Københavns Praktiserende Lægers Laboratorium, Dist.tryk.uextr.",1,440920,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Distant pressure and extractions"
"Københavns Praktiserende Lægers Laboratorium, Diurese 24 timer",1,440880,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Physicians Laboratory, 24-hour urine test"
"Københavns Praktiserende Lægers Laboratorium, Diverse tests",1,440498,44,Copenhagen GP Laboratory (KPLL),Fenytoin;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Various tests"
"Københavns Praktiserende Lægers Laboratorium, Diverse tests 2",1,443497,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Various tests 2"
"Københavns Praktiserende Lægers Laboratorium, Doxepin;P",1,440210,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Doxepin;P"
"Københavns Praktiserende Lægers Laboratorium, Døgn BT-måling",1,440908,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Blood Agglutination BT Measurement"
"Københavns Praktiserende Lægers Laboratorium, E-Protoporphyrin",1,440412,44,Copenhagen GP Laboratory (KPLL),Fenytoin;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, E-Protoporphyrin"
"Københavns Praktiserende Lægers Laboratorium, EBV Ab;P",1,440230,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, EBV Antibody;P"
"Københavns Praktiserende Lægers Laboratorium, EBV-IgG(0-1-2);P",1,443143,44,Copenhagen GP Laboratory (KPLL),Clamydia transport m,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, EBV-IgG(0-1-2);P"
"Københavns Praktiserende Lægers Laboratorium, EBV-IgM(0-1-2);P",1,443142,44,Copenhagen GP Laboratory (KPLL),Clamydia transport m,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, EBV-IgM(0-1-2);P"
"Københavns Praktiserende Lægers Laboratorium, EKG12",1,440909,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, EKG12"
"Københavns Praktiserende Lægers Laboratorium, ENA-antistof;P",1,440131,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, ENA-antibody;P"
"Københavns Praktiserende Lægers Laboratorium, Ecstasy;U",1,443074,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Ecstasy;U"
"Københavns Praktiserende Lægers Laboratorium, Eeg",1,440921,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, EEG"
"Københavns Praktiserende Lægers Laboratorium, Eeg m/søvnkurve",1,440923,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, EEG With Sleep Curve"
"Københavns Praktiserende Lægers Laboratorium, Eg IgE;P",1,445321,44,Copenhagen GP Laboratory (KPLL),Bigift IgG;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Egg White IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Ej pr>vetagning",1,443138,44,Copenhagen GP Laboratory (KPLL),Clamydia transport m,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Not tested"
"Københavns Praktiserende Lægers Laboratorium, Ekko-kardiografi",1,440906,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Echocardiography"
"Københavns Praktiserende Lægers Laboratorium, Ekspeditionsgebyr",1,449990,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 9   KPLL,Hovedgruppe 9   KPLL,,"Copenhagen Practicing Doctors Laboratory, Expedient fee"
"Københavns Praktiserende Lægers Laboratorium, Elm IgE;P",1,445101,44,Copenhagen GP Laboratory (KPLL),GrÅ el IgE;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Elm IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Endomysium Ab;P",1,445186,44,Copenhagen GP Laboratory (KPLL),GrÅ el IgE;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Endomysium Ab;P"
"Københavns Praktiserende Lægers Laboratorium, Eng- rapgr'sIgE;P",1,445572,44,Copenhagen GP Laboratory (KPLL),"Havre,inh.IgE;P",Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Enzyme-linked Immunosorbent Assay IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Engrotteh. IgE;P",1,445027,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 5   KPLL,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Allergen-specific IgE test;P"
"Københavns Praktiserende Lægers Laboratorium, Engsvingel IgE;P",1,445319,44,Copenhagen GP Laboratory (KPLL),Bigift IgG;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Nasal IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Entam>ba Hi.Ab;P",1,443047,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Entamoeba histolytica Hi.Ab;P"
"Københavns Praktiserende Lægers Laboratorium, Eos.Cat.Prot;P",1,445350,44,Copenhagen GP Laboratory (KPLL),Bigift IgG;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Eosinophil Cat Prot;P"
"Københavns Praktiserende Lægers Laboratorium, Eosinofilocyt;B",1,440232,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Eosinophils;B"
"Københavns Praktiserende Lægers Laboratorium, Epitelceller;U",1,440559,44,Copenhagen GP Laboratory (KPLL),Faderskabssag,KPLL,,"Copenhagen Practicing Doctors Laboratory, Urine Epithelial Cells"
"Københavns Praktiserende Lægers Laboratorium, Erhv.(pax4)IgE;P",1,445517,44,Copenhagen GP Laboratory (KPLL),"Havre,inh.IgE;P",Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Pax4 Specific IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Ery Vol Varia;B",1,443119,44,Copenhagen GP Laboratory (KPLL),Clamydia transport m,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Ery Vol Varia;B"
"Københavns Praktiserende Lægers Laboratorium, EryVolFrac.;B",1,440226,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Erythrocyte Volume Fraction;B"
"Københavns Praktiserende Lægers Laboratorium, Erythroblaster;B",1,440233,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Erythroblasts;B"
"Københavns Praktiserende Lægers Laboratorium, Erythrocytter;U",1,440561,44,Copenhagen GP Laboratory (KPLL),Faderskabssag,KPLL,,"Copenhagen Practicing Doctors Laboratory, Urine Erythrocytes"
"Københavns Praktiserende Lægers Laboratorium, Erytrocytter;B",1,440218,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Erythrocytes;B"
"Københavns Praktiserende Lægers Laboratorium, Estradiol;P",1,440492,44,Copenhagen GP Laboratory (KPLL),Fenytoin;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Estradiol;P"
"Københavns Praktiserende Lægers Laboratorium, Etanol;P",1,440235,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Ethanol;P"
"Københavns Praktiserende Lægers Laboratorium, Ethosuximid;P",1,440236,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Ethosuximide;P"
"Københavns Praktiserende Lægers Laboratorium, Event-recording",1,440912,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Event recording"
"Københavns Praktiserende Lægers Laboratorium, F-H. pylori (Ag)",1,443078,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, H. pylori (Ag)"
"Københavns Praktiserende Lægers Laboratorium, F-Patogene bakt.  U",1,443033,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, F-Patogens bakteriology U"
"Københavns Praktiserende Lægers Laboratorium, FSH;P",1,440238,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, FSH;P"
"Københavns Praktiserende Lægers Laboratorium, Faktor V Leiden",1,440241,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Factor V Leiden"
"Københavns Praktiserende Lægers Laboratorium, Fenobarbital;P",1,440398,44,Copenhagen GP Laboratory (KPLL),APTT;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Phenobarbital;P"
"Københavns Praktiserende Lægers Laboratorium, Fenytoin;P",1,440400,44,Copenhagen GP Laboratory (KPLL),Fenytoin;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Phenylalanine;P"
"Københavns Praktiserende Lægers Laboratorium, Ferritin;P",1,440242,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Ferritin;P"
"Københavns Praktiserende Lægers Laboratorium, Ferroxidase;P",1,440191,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Ferric Oxidation Assay;P"
"Københavns Praktiserende Lægers Laboratorium, Fersken IgE;P",1,445087,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 5   KPLL,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Peach IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Fibrinogen;P",1,440245,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Fibrinogen;P"
"Københavns Praktiserende Lægers Laboratorium, Fisk(fx74) IgE;P",1,445506,44,Copenhagen GP Laboratory (KPLL),"Havre,inh.IgE;P",Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Fish(fx74) IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Fisk+Skal. IgE;P",1,445023,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 5   KPLL,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Fish+Shellfish IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Fjerpanel IgE;P P",1,445010,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 5   KPLL,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Physicians Laboratory, Allergen Panel IgE;P P"
"Københavns Praktiserende Lægers Laboratorium, Flecainid;P",1,440237,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Flecainide;P"
"Københavns Praktiserende Lægers Laboratorium, Folater;B",1,440247,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Folate;B"
"Københavns Praktiserende Lægers Laboratorium, Folater;P",1,440246,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Folate;P"
"Københavns Praktiserende Lægers Laboratorium, For fremmøde i lab.",1,449991,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 9   KPLL,Hovedgruppe 9   KPLL,,"Copenhagen Practicing Doctors Laboratory, Promotion in lab."
"Københavns Praktiserende Lægers Laboratorium, Formaldeh. IgE;P",1,445117,44,Copenhagen GP Laboratory (KPLL),GrÅ el IgE;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Formaldehyde IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Fosfat;P",1,440401,44,Copenhagen GP Laboratory (KPLL),Fenytoin;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Phosphate;P"
"Københavns Praktiserende Lægers Laboratorium, Frugt fx15 IgE;P",1,445553,44,Copenhagen GP Laboratory (KPLL),"Havre,inh.IgE;P",Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Fruit e.g. 15 IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Frugt fx16 IgE;P",1,445344,44,Copenhagen GP Laboratory (KPLL),Bigift IgG;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Fruit Such As 16 IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Frugt fx9 IgE;P",1,445099,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 5   KPLL,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Fruit Specific IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Fyr IgE;P",1,445102,44,Copenhagen GP Laboratory (KPLL),GrÅ el IgE;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Fire IgE;P"
"Københavns Praktiserende Lægers Laboratorium, Gabapentin;P",1,443028,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Gabapentin;P"
"Københavns Praktiserende Lægers Laboratorium, Gamma-GT;P",1,440253,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Gamma-GT;P"
"Københavns Praktiserende Lægers Laboratorium, Gamma-Globulin;P",1,440251,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Physicians Laboratory, Gamma-Globulin;P"
"Københavns Praktiserende Lægers Laboratorium, Gastrin;P",1,440239,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Gastrin;P"
"Københavns Praktiserende Lægers Laboratorium, Gliadin Ab;P",1,445140,44,Copenhagen GP Laboratory (KPLL),GrÅ el IgE;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, GLIADIN AB;P"
"Københavns Praktiserende Lægers Laboratorium, Gliadin IgA;P",1,445141,44,Copenhagen GP Laboratory (KPLL),GrÅ el IgE;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Gliadin IgA;P"
"Københavns Praktiserende Lægers Laboratorium, Gliadin IgG;P",1,445142,44,Copenhagen GP Laboratory (KPLL),GrÅ el IgE;P,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Gliadin IgG;P"
"Københavns Praktiserende Lægers Laboratorium, Gliadin antistof",1,445085,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 5   KPLL,Hovedgruppe 5   KPLL,,"Copenhagen Practicing Doctors Laboratory, Gliadin antibody"
"Københavns Praktiserende Lægers Laboratorium, Glu.6 fos.deh;B",1,443084,44,Copenhagen GP Laboratory (KPLL),Hovedgruppe 3   KPLL,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Glucose 6 phosphate dehydrogenase deficiency"
"Københavns Praktiserende Lægers Laboratorium, Gluc.6 fos.deh;E",1,440262,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Glucose 6 Phosphate Dehydrogenase;E"
"Københavns Praktiserende Lægers Laboratorium, Gluc.>gn.(max);B",1,443131,44,Copenhagen GP Laboratory (KPLL),Clamydia transport m,Hovedgruppe 3   KPLL,,"Copenhagen Practicing Doctors Laboratory, Glucose measurement (max);B"
"Københavns Praktiserende Lægers Laboratorium, Gluc.Dia.faste;P",1,440255,44,Copenhagen GP Laboratory (KPLL),Creatinkinase;P,KPLL,,"Copenhagen Practicing Doctors Laboratory, Glucose Diabetes fasting;P"
"Københavns Praktiserende Lægers Laboratorium, Gluc.tol 180;P",1,440776,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Glucose tolerance 180;P"
"Københavns Praktiserende Lægers Laboratorium, Gluc.tol 240;P",1,440777,44,Copenhagen GP Laboratory (KPLL),KPLL,KPLL,,"Copenhagen Practicing Doctors Laboratory, Glucose Tolerance 240;P"
