# id	da_full	en	confidence	residual
728	Diagn. radiologi Kbh., ? ydelse 2153	Diagnostic radiology, Copenhagen, ? service 2153	high	
729	Diagn. radiologi Kbh., ? ydelse 2154	Diagnostic radiology, Copenhagen, ? service 2154	high	
730	Diagn. radiologi Kbh., ? ydelse 2155	Diagnostic radiology, Copenhagen, ? service 2155	high	
731	Diagn. radiologi Kbh., Undersøg. Gr.1 Halvt	Diagnostic radiology, Copenhagen, Examination. gr.1 half	low	Y
732	Diagn. radiologi Kbh., Undersøg. Gr.2 Halvt	Diagnostic radiology, Copenhagen, Examination. gr.2 half	low	Y
733	Diagn. radiologi Kbh., Undersøg. Gr.3 Halvt	Diagnostic radiology, Copenhagen, Examination. gr.3 half	low	Y
734	Diagn. radiologi Kbh., Undersøg. Gr.4 Halvt	Diagnostic radiology, Copenhagen, Examination. gr.4 half	low	Y
735	Diagn. radiologi Kbh., Undersøg. Gr.5 Halvt	Diagnostic radiology, Copenhagen, Examination. gr.5 half	low	Y
736	Diagn. radiologi Kbh., Undersøgelse Gr. 1	Diagnostic radiology, Copenhagen, Examination gr. 1	low	Y
737	Diagn. radiologi Kbh., Undersøgelse Gr. 2	Diagnostic radiology, Copenhagen, Examination gr. 2	low	Y
738	Diagn. radiologi Kbh., Undersøgelse Gr. 3	Diagnostic radiology, Copenhagen, Examination gr. 3	low	Y
739	Diagn. radiologi Kbh., Undersøgelse Gr. 4	Diagnostic radiology, Copenhagen, Examination gr. 4	low	Y
740	Diagn. radiologi Kbh., Undersøgelse Gr. 5	Diagnostic radiology, Copenhagen, Examination gr. 5	low	Y
741	Diagn. radiologi Kbh., Undersøgelse Gr. 6	Diagnostic radiology, Copenhagen, Examination gr. 6	low	Y
742	Diagn. radiologi Kbh., Undersøgelse Gr. 7	Diagnostic radiology, Copenhagen, Examination gr. 7	low	Y
743	Diagn. radiologi Kbh., albue	Diagnostic radiology, Copenhagen, Albue	high	
744	Diagn. radiologi Kbh., belast undersøgelse af led	Diagnostic radiology, Copenhagen, Belast examination of joint	high	
745	Diagn. radiologi Kbh., bihuler	Diagnostic radiology, Copenhagen, Bihuler	high	
746	Diagn. radiologi Kbh., brysthvirvler	Diagnostic radiology, Copenhagen, Brysthvirvler	high	
747	Diagn. radiologi Kbh., brystk med lung/hjerte	Diagnostic radiology, Copenhagen, Brystk with lung/hjerte	high	
748	Diagn. radiologi Kbh., bækken	Diagnostic radiology, Copenhagen, Pelvis	high	
749	Diagn. radiologi Kbh., dobbelt kontr undersøgelse tyktarm	Diagnostic radiology, Copenhagen, Double kontr examination tyktarm	high	
750	Diagn. radiologi Kbh., ekstremiteter	Diagnostic radiology, Copenhagen, Ekstremiteter	high	
751	Diagn. radiologi Kbh., fod/fodled	Diagnostic radiology, Copenhagen, Fod/fodled	high	
752	Diagn. radiologi Kbh., fuldst.tandstatus	Diagnostic radiology, Copenhagen, Fuldst.tandstatus	high	
753	Diagn. radiologi Kbh., funkt undersøgelse rygsøjle rg	Diagnostic radiology, Copenhagen, Funkt examination spine rg	high	
754	Diagn. radiologi Kbh., galdeblære	Diagnostic radiology, Copenhagen, Galdeblære	low	Y
755	Diagn. radiologi Kbh., haleben	Diagnostic radiology, Copenhagen, Haleben	high	
756	Diagn. radiologi Kbh., hals	Diagnostic radiology, Copenhagen, Hals	high	
757	Diagn. radiologi Kbh., halshvirvler	Diagnostic radiology, Copenhagen, Halshvirvler	high	
758	Diagn. radiologi Kbh., hystero-slapingograf	Diagnostic radiology, Copenhagen, Hystero-slapingograf	high	
759	Diagn. radiologi Kbh., hånd/håndled	Diagnostic radiology, Copenhagen, Hand/wrist	high	
760	Diagn. radiologi Kbh., knæ	Diagnostic radiology, Copenhagen, Knee	high	
761	Diagn. radiologi Kbh., kranium	Diagnostic radiology, Copenhagen, Kranium	high	
762	Diagn. radiologi Kbh., kæbeled	Diagnostic radiology, Copenhagen, Temporomandibular joint	high	
763	Diagn. radiologi Kbh., lår og hofteled	Diagnostic radiology, Copenhagen, Thigh and hofteled	high	
764	Diagn. radiologi Kbh., lænde og korsbenshv.	Diagnostic radiology, Copenhagen, Lower back and korsbenshv.	low	Y
765	Diagn. radiologi Kbh., mammae	Diagnostic radiology, Copenhagen, Mammae	high	
766	Diagn. radiologi Kbh., mammografi	Diagnostic radiology, Copenhagen, Mammografi	high	
767	Diagn. radiologi Kbh., mave med tolvfingtarm	Diagnostic radiology, Copenhagen, Mave with tolvfingtarm	high	
768	Diagn. radiologi Kbh., nedre abdomen	Diagnostic radiology, Copenhagen, Nedre abdomen	high	
769	Diagn. radiologi Kbh., nedre abdomen, blære	Diagnostic radiology, Copenhagen, Nedre abdomen, bladder	high	
770	Diagn. radiologi Kbh., nyrer	Diagnostic radiology, Copenhagen, Nyrer	high	
771	Diagn. radiologi Kbh., overkæbe	Diagnostic radiology, Copenhagen, Upper jaw	high	
772	Diagn. radiologi Kbh., sialografi	Diagnostic radiology, Copenhagen, Sialografi	high	
773	Diagn. radiologi Kbh., skulderled og overar	Diagnostic radiology, Copenhagen, Skulderled and overar	high	
774	Diagn. radiologi Kbh., spiserør	Diagnostic radiology, Copenhagen, Oesophagus	high	
775	Diagn. radiologi Kbh., testes	Diagnostic radiology, Copenhagen, Testes	high	
776	Diagn. radiologi Kbh., trachea	Diagnostic radiology, Copenhagen, Trachea	high	
777	Diagn. radiologi Kbh., udv.urologi tømnings	Diagnostic radiology, Copenhagen, Udv.urologi tømnings	low	Y
778	Diagn. radiologi Kbh., udvidet mammografi	Diagnostic radiology, Copenhagen, Udvidet mammografi	high	
779	Diagn. radiologi Kbh., underarm	Diagnostic radiology, Copenhagen, Underarm	high	
780	Diagn. radiologi Kbh., underben	Diagnostic radiology, Copenhagen, Underben	low	Y
781	Diagn. radiologi Kbh., underkæbe	Diagnostic radiology, Copenhagen, Lower jaw	high	
782	Diagn. radiologi Kbh., undersøgelse tyndtarmspassage	Diagnostic radiology, Copenhagen, Examination tyndtarmspassage	high	
783	Diagn. radiologi Kbh., ydelse 2160	Diagnostic radiology, Copenhagen, Service 2160	high	
784	Diagn. radiologi Kbh., ydelse 2162	Diagnostic radiology, Copenhagen, Service 2162	high	
785	Diagn. radiologi Kbh., øvre abdomen	Diagnostic radiology, Copenhagen, Upper abdomen	high	
786			high	
787	Dermato-venerologi, (procedure not documented)	Dermato-venereology, (procedure not documented)	low	
788	Dermato-venerologi, 1. konsultation	Dermato-venereology, 1. consultation	high	
789	Dermato-venerologi, 1. konsultation incl. test	Dermato-venereology, 1. consultation incl. test	low	Y
790	Dermato-venerologi, 1. konsultation stk3 ¤3A35	Dermato-venereology, 1. consultation stk3 ¤3a35	high	
791	Dermato-venerologi, 1. konsultation ¤3 digi.foto	Dermato-venereology, 1. consultation ¤3 digi.foto	high	
792	Dermato-venerologi, 1. konsultation	Dermato-venereology, 1. consultation	high	
793	Dermato-venerologi, 1 konsultation digi.foto a35	Dermato-venereology, 1 consultation digi.foto a35	high	
794	Dermato-venerologi, 2. konsultation	Dermato-venereology, 2. consultation	high	
795	Dermato-venerologi, 2. konsultation 3 digi.foto	Dermato-venereology, 2. consultation 3 digi.foto	high	
796	Dermato-venerologi, 2. konsultation stk3 ¤3A35	Dermato-venereology, 2. consultation stk3 ¤3a35	high	
797	Dermato-venerologi, 2. og efterf. Viborg	Dermato-venereology, 2. and efterf. viborg	low	Y
798	Dermato-venerologi, 3. konsultation stk3 ¤3A35	Dermato-venereology, 3. consultation stk3 ¤3a35	high	
799	Dermato-venerologi, 3.kon psoriasis A65	Dermato-venereology, 3.kon psoriasis a65	high	
800	Dermato-venerologi, 4.kon psoriasis A65	Dermato-venereology, 4.kon psoriasis a65	high	
801	Dermato-venerologi, Afstandstillæg	Dermato-venereology, Distance supplement	high	
802	Dermato-venerologi, Allerg. 1. konsultation	Dermato-venereology, Allergy. 1. consultation	low	Y
803	Dermato-venerologi, Allerg. 2. konsultation	Dermato-venereology, Allergy. 2. consultation	low	Y
804	Dermato-venerologi, Allerg. Cutanprøve	Dermato-venereology, Allergy. skin test	low	Y
805	Dermato-venerologi, Allerg. Prov.Forsøg	Dermato-venereology, Allergy. prov.forsøg	low	Y
806	Dermato-venerologi, Allerg. Senere konsultation	Dermato-venereology, Allergy. later consultation	low	Y
807	Dermato-venerologi, Allerg. telefon konsultation	Dermato-venereology, Allergy. telephone consultation	low	Y
808	Dermato-venerologi, Allergi  3A65	Dermato-venereology, Allergy 3a65	high	
809	Dermato-venerologi, Anoscopi	Dermato-venereology, Anoscopi	high	
810	Dermato-venerologi, Ansigt+hals per behandling	Dermato-venereology, Ansigt+hals per treatment	high	
811	Dermato-venerologi, Ansigt/hals per behandling	Dermato-venereology, Ansigt/hals per treatment	high	
812	Dermato-venerologi, Argonlaser Pg.3  A15	Dermato-venereology, Argonlaser pg.3 a15	high	
813	Dermato-venerologi, behandling melanonpati.A65	Dermato-venereology, Treatment melanonpati.a65	high	
814	Dermato-venerologi, behandling ven.skinnebens.	Dermato-venereology, Treatment ven.skinnebens.	high	
815	Dermato-venerologi, Besøg	Dermato-venereology, Visit	high	
816	Dermato-venerologi, Biopsi	Dermato-venereology, Biopsy	high	
817	Dermato-venerologi, Blodpr. Exp        1	Dermato-venereology, Blodpr. exp 1	low	Y
818	Dermato-venerologi, Blodprøvetagning   3	Dermato-venereology, Blood sampling 3	high	
819	Dermato-venerologi, Botox behandling amt 65	Dermato-venereology, Botox treatment amt 65	high	
820	Dermato-venerologi, Clamydia forsende. 1	Dermato-venereology, Clamydia forsende. 1	low	Y
821	Dermato-venerologi, Dermatorisk behandling R81	Dermato-venereology, Dermatorisk treatment r81	low	Y
822	Dermato-venerologi, Doppler	Dermato-venereology, Doppler	high	
823	Dermato-venerologi, Dyrkning gærsvamp 12	Dermato-venereology, Dyrkning yeast infection 12	low	Y
824	Dermato-venerologi, Dyrkning hudsvamp 12	Dermato-venereology, Dyrkning hudsvamp 12	low	Y
825	Dermato-venerologi, E-mail konsultation	Dermato-venereology, E-mail consultation	high	
826	Dermato-venerologi, E-mail konsultation	Dermato-venereology, E-mail consultation	high	
827	Dermato-venerologi, E-mail konsultation	Dermato-venereology, E-mail consultation	high	
828	Dermato-venerologi, Eksem 1. konsult.	Dermato-venereology, Eksem 1. konsult.	low	Y
829	Dermato-venerologi, Eksem 2. konsult	Dermato-venereology, Eksem 2. konsult	high	
830	Dermato-venerologi, Eksem 2. konsult.	Dermato-venereology, Eksem 2. konsult.	low	Y
831	Dermato-venerologi, Eksem senere konsult	Dermato-venereology, Eksem later konsult	high	
832	Dermato-venerologi, Eksem telefonkunsult	Dermato-venereology, Eksem telefonkunsult	high	
833	Dermato-venerologi, Episkopi	Dermato-venereology, Episkopi	high	
834	Dermato-venerologi, fjernelse Svulst   følgende	Dermato-venereology, Removal svulst subsequent	high	
835	Dermato-venerologi, fjernelse Svulst Hud 1.	Dermato-venereology, Removal svulst hud 1.	high	
836	Dermato-venerologi, fjernelse Svulst exci.1.	Dermato-venereology, Removal svulst exci.1.	high	
837	Dermato-venerologi, fjernelse Svulst exci.Fg	Dermato-venereology, Removal svulst exci.fg	high	
838	Dermato-venerologi, Fjernelse Negl    1.	Dermato-venereology, Removal negl 1.	high	
839	Dermato-venerologi, Fjernelse Negl  følgende	Dermato-venereology, Removal negl subsequent	high	
840	Dermato-venerologi, Gonokok forsendel. 1	Dermato-venereology, Gonokok forsendel. 1	low	Y
841	Dermato-venerologi, Hage/Hals per behandling	Dermato-venereology, Hage/hals per treatment	high	
842	Dermato-venerologi, Hage/hals per behandling	Dermato-venereology, Hage/hals per treatment	high	
843	Dermato-venerologi, Hele ansigtet per be	Dermato-venereology, Hele ansigtet per be	high	
844	Dermato-venerologi, Hele ansigtet per behandling	Dermato-venereology, Hele ansigtet per treatment	high	
845	Dermato-venerologi, Hirsutisme R81	Dermato-venereology, Hirsutisme r81	high	
846	Dermato-venerologi, Hæmangioner R81	Dermato-venereology, Hæmangioner r81	low	Y
847	Dermato-venerologi, Incision Absces   1.	Dermato-venereology, Incision absces 1.	high	
848	Dermato-venerologi, Incision Absces følgende	Dermato-venereology, Incision absces subsequent	high	
849	Dermato-venerologi, Incision Cyste    1.	Dermato-venereology, Incision cyste 1.	high	
850	Dermato-venerologi, Incision Cyste  følgende	Dermato-venereology, Incision cyste subsequent	high	
851	Dermato-venerologi, Incisionsbiopsi	Dermato-venereology, Incisionsbiopsi	high	
852	Dermato-venerologi, Incisionsbiopsi, følgende	Dermato-venereology, Incisionsbiopsi, subsequent	high	
853	Dermato-venerologi, Intralæsion. injekt.	Dermato-venereology, Intralæsion. injection.	low	Y
854	Dermato-venerologi, Iontoforese	Dermato-venereology, Iontoforese	high	
855	Dermato-venerologi, Karmodermærker	Dermato-venereology, Karmodermærker	low	Y
856	Dermato-venerologi, Klidbade	Dermato-venereology, Klidbade	high	
857	Dermato-venerologi, Kondylomer R81	Dermato-venereology, Kondylomer r81	high	
858	Dermato-venerologi, Kontr system behandling	Dermato-venereology, Kontr system treatment	high	
859	Dermato-venerologi, Kontrol anoscopi	Dermato-venereology, Follow-up anoscopi	high	
860	Dermato-venerologi, Kørselsgodtgør.  i	Dermato-venereology, Mileage allowance. in	low	Y
861	Dermato-venerologi, Laserbeh. kelo. a60	Dermato-venereology, Laserbeh. kelo. a60	low	Y
862	Dermato-venerologi, Laserbeh.spider a60	Dermato-venereology, Laserbeh.spider a60	high	
863	Dermato-venerologi, Laserbehandling	Dermato-venereology, Laserbehandling	high	
864	Dermato-venerologi, Laserskud	Dermato-venereology, Laserskud	high	
865	Dermato-venerologi, Lokale røde bade	Dermato-venereology, Lokale red bade	high	
866	Dermato-venerologi, Mikrosk. farv. sek.3	Dermato-venereology, Mikrosk. farv. sek.3	low	Y
867	Dermato-venerologi, Mikrosk. hudsvamp  5	Dermato-venereology, Mikrosk. hudsvamp 5	low	Y
868	Dermato-venerologi, Mikrosk. ufar. sek.3	Dermato-venereology, Mikrosk. ufar. sek.3	low	Y
869	Dermato-venerologi, Mult.akt.keratoser	Dermato-venereology, Mult.akt.keratoser	high	
870	Dermato-venerologi, Multiple akt. følgende operation	Dermato-venereology, Multiple akt. subsequent operation	low	Y
871	Dermato-venerologi, Mål.peri.blodt. 3A15	Dermato-venereology, Mål.peri.blodt. 3a15	low	Y
872	Dermato-venerologi, Mørkefeltsmikros.  5	Dermato-venereology, Mørkefeltsmikros. 5	low	Y
873	Dermato-venerologi, Naevus flammeus R81	Dermato-venereology, Naevus flammeus r81	high	
874	Dermato-venerologi, Overlæbe per behandling	Dermato-venereology, Upper lip per treatment	high	
875	Dermato-venerologi, Overlæbe per behandl	Dermato-venereology, Upper lip per behandl	low	Y
876	Dermato-venerologi, PDT-beh. cancerpt.	Dermato-venereology, Pdt-beh. cancerpt.	low	Y
877	Dermato-venerologi, PDT-cancer	Dermato-venereology, Pdt-cancer	high	
878	Dermato-venerologi, PDT-cancer Kbh.k	Dermato-venereology, Pdt-cancer kbh.k	high	
879	Dermato-venerologi, PDT-vorter	Dermato-venereology, Pdt-vorter	high	
880	Dermato-venerologi, Rensn. og forb. sår	Dermato-venereology, Rensn. and forb. wound	low	Y
881	Dermato-venerologi, Røde bade	Dermato-venereology, Red bade	high	
882	Dermato-venerologi, Scleroser. injekt.	Dermato-venereology, Scleroser. injection.	low	Y
883	Dermato-venerologi, Sekret-Gonokok*exp*1	Dermato-venereology, Sekret-gonokok*exp*1	low	Y
884	Dermato-venerologi, Sen konsultation 3 dig.foto	Dermato-venereology, Sen consultation 3 dig.foto	high	
885	Dermato-venerologi, Senere konsultation	Dermato-venereology, Later consultation	high	
886	Dermato-venerologi, Senere konsultation	Dermato-venereology, Later consultation	high	
887	Dermato-venerologi, Smears	Dermato-venereology, Smears	high	
888	Dermato-venerologi, Smitteopsporing	Dermato-venereology, Smitteopsporing	high	
889	Dermato-venerologi, Syringiomer	Dermato-venereology, Syringiomer	high	
890	Dermato-venerologi, Syringomer R81	Dermato-venereology, Syringomer r81	high	
891	Dermato-venerologi, til konsultation stk3 ¤3A35	Dermato-venereology, To consultation stk3 ¤3a35	high	
892	Dermato-venerologi, Teleangiektasier R81	Dermato-venereology, Teleangiektasier r81	high	
893	Dermato-venerologi, Teledermatologi	Dermato-venereology, Teledermatologi	high	
894	Dermato-venerologi, Telefonkonsultation	Dermato-venereology, Telephone consultation	high	
895	Dermato-venerologi, Tjærebade          .	Dermato-venereology, Tjærebade .	low	Y
896	Dermato-venerologi, telefon konsultation	Dermato-venereology, Telephone consultation	high	
897	Dermato-venerologi, telefon rådgivning	Dermato-venereology, Telephone advice	high	
898	Dermato-venerologi, telefon rådg prakt læge	Dermato-venereology, Telephone rådg prakt doctor	low	Y
899	Dermato-venerologi, Tolk ifm. konsultation  3	Dermato-venereology, Interpreter in connection with. consultation 3	low	Y
900	Dermato-venerologi, Urin-dyrkning     12	Dermato-venereology, Urine-dyrkning 12	high	
901	Dermato-venerologi, Urin-svangersk undersøgelse 3	Dermato-venereology, Urine-svangersk examination 3	high	
902	Dermato-venerologi, Urinprøvetag.steril4	Dermato-venereology, Urine sampling.steril4	high	
903	Dermato-venerologi, Urinundersøg. stix 1	Dermato-venereology, Urinundersøg. stix 1	low	Y
904	Dermato-venerologi, Venero. 1. konsultation	Dermato-venereology, Venero. 1. consultation	low	Y
905	Dermato-venerologi, Venero. 2. konsultation	Dermato-venereology, Venero. 2. consultation	low	Y
906	Dermato-venerologi, Venero. Senere konsultation	Dermato-venereology, Venero. later consultation	low	Y
907	Dermato-venerologi, Venero. telefon konsultation	Dermato-venereology, Venero. telephone consultation	low	Y
908	Dermato-venerologi, Visit. indkald. patienter	Dermato-venereology, Visit. indkald. patients	low	Y
909	Dermato-venerologi, Visit. kautionsbeg.	Dermato-venereology, Visit. kautionsbeg.	low	Y
910	Dermato-venerologi, Vorter R81	Dermato-venereology, Vorter r81	high	
911	Dermato-venerologi, Xanthelasmata R81	Dermato-venereology, Xanthelasmata r81	high	
912	Dermato-venerologi, Zinklim- & Plastbind	Dermato-venereology, Zinklim- & plastbind	high	
913	Dermato-venerologi, Zinklim-og plas.bind	Dermato-venereology, Zinklim-and plas.bind	high	
914	Dermato-venerologi, behandling patienter svedtendens	Dermato-venereology, Treatment patients svedtendens	high	
915	Dermato-venerologi, fj. karforandringer	Dermato-venereology, Removal. karforandringer	low	Y
916	Dermato-venerologi, fj. pigmentforandr.	Dermato-venereology, Removal. pigmentforandr.	low	Y
917	Dermato-venerologi, fj. uønsk.hårvækst	Dermato-venereology, Removal. uønsk.hårvækst	low	Y
918	Dermato-venerologi, forus. ¤3 aft. Vejle	Dermato-venereology, Forus. ¤3 aft. vejle	low	Y
919	Dermato-venerologi, laserbeh.karsprængn.	Dermato-venereology, Laserbeh.karsprængn.	low	Y
920	Dermato-venerologi, laserbeh.røde moderm	Dermato-venereology, Laserbeh.red moderm	high	
921	Dermato-venerologi, laserbeh.vorter ¤3	Dermato-venereology, Laserbeh.vorter ¤3	high	
922	Dermato-venerologi, rhino Phyma	Dermato-venereology, Rhino phyma	high	
923	Dermato-venerologi, tillæg for tolk	Dermato-venereology, Supplement for interpreter	high	
924	Dermato-venerologi, tolkebistand	Dermato-venereology, Interpreter assistance	high	
925	Dermato-venerologi, venero 1 konsultation a80	Dermato-venereology, Venero 1 consultation a80	high	
926	Dermato-venerologi, venero 2 konsultation a80	Dermato-venereology, Venero 2 consultation a80	high	
927	Dermato-venerologi, venero senere konsultation	Dermato-venereology, Venero later consultation	high	
928	Dermato-venerologi, venero telefon konsultation a80	Dermato-venereology, Venero telephone consultation a80	high	
929	Københavns Praktiserende Lægers Laboratorium, (procedure not documented)	Copenhagen GP Laboratory (KPLL), (procedure not documented)	low	
930	Københavns Praktiserende Lægers Laboratorium, 17-Hy.progest.;P	Copenhagen GP Laboratory (KPLL), 17-hy.progest.;p	high	
931	Københavns Praktiserende Lægers Laboratorium, 2 forsendelser	Copenhagen GP Laboratory (KPLL), 2 forsendelser	high	
932	Københavns Praktiserende Lægers Laboratorium, 5HIA;U	Copenhagen GP Laboratory (KPLL), 5hia;u	high	
933	Københavns Praktiserende Lægers Laboratorium, ACE1;P	Copenhagen GP Laboratory (KPLL), Ace1;p	high	
934	Københavns Praktiserende Lægers Laboratorium, ACTH;P	Copenhagen GP Laboratory (KPLL), Acth;p	high	
935	Københavns Praktiserende Lægers Laboratorium, ALAT;P	Copenhagen GP Laboratory (KPLL), Alat;p	high	
936	Københavns Praktiserende Lægers Laboratorium, ANA;P	Copenhagen GP Laboratory (KPLL), Ana;p	high	
937	Københavns Praktiserende Lægers Laboratorium, ANCA;P	Copenhagen GP Laboratory (KPLL), Anca;p	high	
938	Københavns Praktiserende Lægers Laboratorium, APTT;P	Copenhagen GP Laboratory (KPLL), Aptt;p	high	
939	Københavns Praktiserende Lægers Laboratorium, ASAT;P	Copenhagen GP Laboratory (KPLL), Asat;p	high	
940	Københavns Praktiserende Lægers Laboratorium, Acajounød IgE;P	Copenhagen GP Laboratory (KPLL), Acajounød ige;p	low	Y
941	Københavns Praktiserende Lægers Laboratorium, Acarus s. IgE;P	Copenhagen GP Laboratory (KPLL), Acarus s. ige;p	high	
942	Københavns Praktiserende Lægers Laboratorium, Acetylcho.rec.Ab	Copenhagen GP Laboratory (KPLL), Acetylcho.rec.ab	high	
943	Københavns Praktiserende Lægers Laboratorium, Acetylsal. IgE;P	Copenhagen GP Laboratory (KPLL), Acetylsal. ige;p	low	Y
944	Københavns Praktiserende Lægers Laboratorium, Adrenalin;dU	Copenhagen GP Laboratory (KPLL), Adrenalin;du	high	
945	Københavns Praktiserende Lægers Laboratorium, Afhentede pr>ver	Copenhagen GP Laboratory (KPLL), Afhentede pr>ver	high	
946	Københavns Praktiserende Lægers Laboratorium, Agurk IgE;P	Copenhagen GP Laboratory (KPLL), Agurk ige;p	high	
947	Københavns Praktiserende Lægers Laboratorium, Albumin (el.);P	Copenhagen GP Laboratory (KPLL), Albumin (el.);p	low	Y
948	Københavns Praktiserende Lægers Laboratorium, Albumin/Crea;U	Copenhagen GP Laboratory (KPLL), Albumin/crea;u	high	
949	Københavns Praktiserende Lægers Laboratorium, Albumin;P	Copenhagen GP Laboratory (KPLL), Albumin;p	high	
950	Københavns Praktiserende Lægers Laboratorium, Albumin;dU	Copenhagen GP Laboratory (KPLL), Albumin;du	high	
951	Københavns Praktiserende Lægers Laboratorium, Aldolase;P	Copenhagen GP Laboratory (KPLL), Aldolase;p	high	
952	Københavns Praktiserende Lægers Laboratorium, Aldosteron;P	Copenhagen GP Laboratory (KPLL), Aldosteron;p	high	
953	Københavns Praktiserende Lægers Laboratorium, Alfa Føtoprot;P	Copenhagen GP Laboratory (KPLL), Alfa føtoprot;p	low	Y
954	Københavns Praktiserende Lægers Laboratorium, Alfa-1-Globulin,	Copenhagen GP Laboratory (KPLL), Alfa-1-globulin,	high	
955	Københavns Praktiserende Lægers Laboratorium, Alfa-2-Globulin;	Copenhagen GP Laboratory (KPLL), Alfa-2-globulin;	high	
956	Københavns Praktiserende Lægers Laboratorium, AllSpec.IgE ord.	Copenhagen GP Laboratory (KPLL), Allspec.ige ord.	low	Y
957	Københavns Praktiserende Lægers Laboratorium, Allergiscreen;P	Copenhagen GP Laboratory (KPLL), Allergiscreen;p	high	
958	Københavns Praktiserende Lægers Laboratorium, Altern.ten.IgE;P	Copenhagen GP Laboratory (KPLL), Altern.ten.ige;p	high	
959	Københavns Praktiserende Lægers Laboratorium, Amiodaron;P	Copenhagen GP Laboratory (KPLL), Amiodaron;p	high	
960	Københavns Praktiserende Lægers Laboratorium, Amitriptylin;P	Copenhagen GP Laboratory (KPLL), Amitriptylin;p	high	
961	Københavns Praktiserende Lægers Laboratorium, Amoxillin IgE;P	Copenhagen GP Laboratory (KPLL), Amoxillin ige;p	high	
962	Københavns Praktiserende Lægers Laboratorium, Ampicillin IgE;P	Copenhagen GP Laboratory (KPLL), Ampicillin ige;p	high	
963	Københavns Praktiserende Lægers Laboratorium, Amylase,panc.;P	Copenhagen GP Laboratory (KPLL), Amylase,panc.;p	low	Y
964	Københavns Praktiserende Lægers Laboratorium, Amylase;P	Copenhagen GP Laboratory (KPLL), Amylase;p	high	
965	Københavns Praktiserende Lægers Laboratorium, Amylase;U	Copenhagen GP Laboratory (KPLL), Amylase;u	high	
966	Københavns Praktiserende Lægers Laboratorium, Ananas IgE;P	Copenhagen GP Laboratory (KPLL), Ananas ige;p	high	
967	Københavns Praktiserende Lægers Laboratorium, Androgen-status	Copenhagen GP Laboratory (KPLL), Androgen-status	high	
968	Københavns Praktiserende Lægers Laboratorium, Ankeltr. Doppler	Copenhagen GP Laboratory (KPLL), Ankeltr. doppler	low	Y
969	Københavns Praktiserende Lægers Laboratorium, Antitrombin;P	Copenhagen GP Laboratory (KPLL), Antitrombin;p	high	
970	Københavns Praktiserende Lægers Laboratorium, Antitrypsin;P	Copenhagen GP Laboratory (KPLL), Antitrypsin;p	high	
971	Københavns Praktiserende Lægers Laboratorium, Appelsin IgE;P	Copenhagen GP Laboratory (KPLL), Appelsin ige;p	high	
972	Københavns Praktiserende Lægers Laboratorium, Arb.test v.astma	Copenhagen GP Laboratory (KPLL), Arb.test v.astma	high	
973	Københavns Praktiserende Lægers Laboratorium, Arbejds-ekg	Copenhagen GP Laboratory (KPLL), Arbejds-ECG	high	
974	Københavns Praktiserende Lægers Laboratorium, Ascorbat;P	Copenhagen GP Laboratory (KPLL), Ascorbat;p	high	
975	Københavns Praktiserende Lægers Laboratorium, Aspergil . f  IgE;P	Copenhagen GP Laboratory (KPLL), Aspergil . f ige;p	high	
976	Københavns Praktiserende Lægers Laboratorium, Aspergil.n IgE;P	Copenhagen GP Laboratory (KPLL), Aspergil.n ige;p	high	
977	Københavns Praktiserende Lægers Laboratorium, Aspergil.v IgE;P	Copenhagen GP Laboratory (KPLL), Aspergil.v ige;p	high	
978	Københavns Praktiserende Lægers Laboratorium, Avocado IgE;P	Copenhagen GP Laboratory (KPLL), Avocado ige;p	high	
979	Københavns Praktiserende Lægers Laboratorium, BNP;P	Copenhagen GP Laboratory (KPLL), Bnp;p	high	
980	Københavns Praktiserende Lægers Laboratorium, bakteriologisk dyrk+res ;U	Copenhagen GP Laboratory (KPLL), Bacteriological dyrk+res ;u	high	
981	Københavns Praktiserende Lægers Laboratorium, bakteriologisk dyrk resA;U	Copenhagen GP Laboratory (KPLL), Bacteriological dyrk resa;u	high	
982	Københavns Praktiserende Lægers Laboratorium, Banan IgE;P	Copenhagen GP Laboratory (KPLL), Banan ige;p	high	
983	Københavns Praktiserende Lægers Laboratorium, Bas.fosfatase;P	Copenhagen GP Laboratory (KPLL), Bas.fosfatase;p	high	
984	Københavns Praktiserende Lægers Laboratorium, Basisk Frakt.;P	Copenhagen GP Laboratory (KPLL), Basisk frakt.;p	low	Y
985	Københavns Praktiserende Lægers Laboratorium, Basofilocytter;B	Copenhagen GP Laboratory (KPLL), Basofilocytter;b	high	
986	Københavns Praktiserende Lægers Laboratorium, Benzodiazepin.;U	Copenhagen GP Laboratory (KPLL), Benzodiazepin.;u	low	Y
987	Københavns Praktiserende Lægers Laboratorium, Beta-Globulin;P	Copenhagen GP Laboratory (KPLL), Beta-globulin;p	high	
988	Københavns Praktiserende Lægers Laboratorium, Beta2-Microgl.;P	Copenhagen GP Laboratory (KPLL), Beta2-microgl.;p	high	
989	Københavns Praktiserende Lægers Laboratorium, Bicarbonat,st;kB	Copenhagen GP Laboratory (KPLL), Bicarbonat,st;kb	high	
990	Københavns Praktiserende Lægers Laboratorium, Bicarbonat,st;vB	Copenhagen GP Laboratory (KPLL), Bicarbonat,st;vb	high	
991	Københavns Praktiserende Lægers Laboratorium, Bigift IgE;P	Copenhagen GP Laboratory (KPLL), Bigift ige;p	high	
